set,name,year,num_parts,price,theme
41007-1,Heartlake Pet Salon,2013,264,29.99,Friends
41008-1,Heartlake City Pool,2013,442,39.99,Friends
41009-1,Andrea's Bedroom,2013,96,9.99,Friends
41010-1,Olivia’s Beach Buggy,2013,94,9.99,Friends
41011-1,Stephanie's Soccer Practice,2013,82,9.99,Friends
41013-1,Emma's Sports Car,2013,163,14.99,Friends
41015-1,Dolphin Cruiser,2013,631,69.99,Friends
41017-1,Squirrel's Tree House,2013,41,4.99,Friends
41018-1,Cat's Playground,2013,31,4.99,Friends
41019-1,Turtle's Little Oasis,2013,33,4.99,Friends
41020-1,Hedgehog's Hideaway,2013,34,4.99,Friends
41021-1,Poodle's Little Palace,2013,46,4.99,Friends
41022-1,Bunny's Hutch,2013,37,4.99,Friends
41023-1,Fawn's Forest,2013,35,4.99,Friends
41024-1,Parrot's Perch,2013,32,4.99,Friends
41025-1,Puppy's Playhouse,2013,39,4.99,Friends
41026-1,Sunshine Harvest,2014,236,19.99,Friends
41027-1,Mia's Lemonade Stand,2014,114,9.99,Friends
41028-1,Emma's Lifeguard Post,2014,78,9.99,Friends
41029-1,Stephanie's New Born Lamb,2014,93,9.99,Friends
41030-1,Olivia's Ice Cream Bike,2014,98,9.99,Friends
41031-1,Andrea's Mountain Hut,2014,119,9.99,Friends
41032-1,First Aid Jungle Bike,2014,156,14.99,Friends
41033-1,Jungle Falls Rescue,2014,187,19.99,Friends
41034-1,Summer Caravan,2014,313,29.99,Friends
41035-1,Heartlake Juice Bar,2014,277,29.99,Friends
41036-1,Jungle Bridge Rescue,2014,365,29.99,Friends
41037-1,Stephanie's Beach House,2014,388,39.99,Friends
41038-1,Jungle Rescue Base,2014,500,59.99,Friends
41039-1,Sunshine Ranch,2014,757,69.99,Friends
41041-1,Turtle's Little Paradise,2014,43,3.99,Friends
41042-1,Tiger's Beautiful Temple,2014,42,3.99,Friends
41043-1,Penguin's Playground,2014,46,3.99,Friends
41044-1,Macaw's Fountain,2014,39,3.99,Friends
41045-1,Orangutan's Banana Tree,2014,37,3.99,Friends
41046-1,Brown Bear's River,2014,37,3.99,Friends
41047-1,Seal's Little Rock,2014,37,NA,Friends
41048-1,Lion Cub's Savanna,2014,43,NA,Friends
41049-1,Panda's Bamboo,2014,47,NA,Friends
41056-1,Heartlake News Van,2014,278,24.99,Friends
41057-1,Heartlake Horse Show,2014,374,39.99,Friends
41058-1,Heartlake Shopping Mall,2014,1169,109.99,Friends
41059-1,Jungle Tree Sanctuary,2014,320,29.99,Friends
41085-1,Vet Clinic,2015,201,19.99,Friends
41086-1,Vet Ambulance,2015,89,9.99,Friends
41087-1,Bunny and Babies,2015,47,4.99,Friends
41088-1,Puppy Training,2015,65,4.99,Friends
41089-1,Little Foal,2015,43,4.99,Friends
41090-1,Olivia's Garden Pool,2015,82,9.99,Friends
41091-1,Mia's Roadster,2015,195,14.99,Friends
41092-1,Stephanie's Pizzeria,2015,87,9.99,Friends
41093-1,Heartlake Hair Salon,2015,334,29.99,Friends
41094-1,Heartlake Lighthouse,2015,474,39.99,Friends
41095-1,Emma's House,2015,728,69.99,Friends
41097-1,Heartlake Hot Air Balloon,2015,254,29.99,Friends
41098-1,Emma's Tourist Kiosk,2015,98,9.99,Friends
41099-1,Heartlake Skate Park,2015,199,19.99,Friends
41100-1,Heartlake Private Jet,2015,230,29.99,Friends
41101-1,Heartlake Grand Hotel,2015,1574,129.99,Friends
41103-1,Pop Star Recording Studio,2015,172,14.99,Friends
41104-1,Pop Star Dressing Room,2015,298,29.99,Friends
41105-1,Pop Star Show Stage,2015,446,39.99,Friends
41106-1,Pop Star Tour Bus,2015,682,59.99,Friends
41107-1,Pop Star Limousine,2015,265,24.99,Friends
41108-1,Heartlake Food Market,2015,392,39.99,Friends
41109-1,Heartlake City Airport,2015,692,89.99,Friends
41110-1,Birthday Party,2016,191,19.99,Friends
41111-1,Party Train,2016,109,9.99,Friends
41112-1,Party Cakes,2016,50,4.99,Friends
41113-1,Party Gift Shop,2016,52,4.99,Friends
41114-1,Party Styling,2016,54,4.99,Friends
41115-1,Emma's Creative Workshop,2016,108,9.99,Friends
41116-1,Olivia's Exploration Car,2016,185,14.99,Friends
41117-1,Pop Star TV Studio,2016,194,19.99,Friends
41118-1,Heartlake Supermarket,2016,316,29.99,Friends
41119-1,Heartlake Cupcake Cafe,2016,443,39.99,Friends
41120-1,Adventure Camp Archery,2016,114,9.99,Friends
41121-1,Adventure Camp Rafting,2016,320,29.99,Friends
41122-1,Adventure Camp Tree House,2016,726,79.99,Friends
41123-1,Foal's Washing Station,2016,85,9.99,Friends
41124-1,Heartlake Puppy Daycare,2016,286,29.99,Friends
41125-1,Horse Vet Trailer,2016,379,39.99,Friends
41126-1,Heartlake Riding Club,2016,590,59.99,Friends
41127-1,Amusement Park Arcade,2016,174,14.99,Friends
41128-1,Amusement Park Space Ride,2016,195,19.99,Friends
41129-1,Amusement Park Hot Dog Van,2016,243,29.99,Friends
41130-1,Amusement Park Roller Coaster,2016,1124,99.99,Friends
41132-1,Heartlake Party Shop,2016,176,29.99,Friends
41133-1,Amusement Park Bumper Cars,2016,424,39.99,Friends
41134-1,Heartlake Performance School,2016,774,79.99,Friends
41135-1,Livi's Pop Star House,2016,613,49.99,Friends
41300-1,Puppy Championship,2017,200,19.99,Friends
41301-1,Puppy Parade,2017,145,14.99,Friends
41302-1,Puppy Pampering,2017,45,4.99,Friends
41303-1,Puppy Playground,2017,62,4.99,Friends
41304-1,Puppy Treats & Tricks,2017,45,4.99,Friends
41305-1,Emma's Photo Studio,2017,96,9.99,Friends
41306-1,Mia's Beach Scooter,2017,79,9.99,Friends
41307-1,Olivia's Creative Lab,2017,99,9.99,Friends
41308-1,Stephanie's Friendship Cakes,2017,94,9.99,Friends
41309-1,Andrea's Musical Duet,2017,86,9.99,Friends
41310-1,Heartlake Gift Delivery,2017,185,19.99,Friends
41311-1,Heartlake Pizzeria,2017,305,29.99,Friends
41312-1,Heartlake Sports Center,2017,328,39.99,Friends
41313-1,Heartlake Summer Pool,2017,589,49.99,Friends
41314-1,Stephanie's House,2017,640,69.99,Friends
41315-1,Heartlake Surf Shop,2017,186,19.99,Friends
41316-1,Andrea's Speedboat Transporter,2017,309,29.99,Friends
41317-1,Sunshine Catamaran,2017,603,69.99,Friends
41318-1,Heartlake Hospital,2017,880,99.99,Friends
41319-1,Snow Resort Hot Chocolate Van,2017,246,24.99,Friends
41320-1,Heartlake Frozen Yogurt Shop,2017,370,39.99,Friends
41321-1,Snow Resort Off-Roader,2017,141,14.99,Friends
41322-1,Snow Resort Ice Rink,2017,307,29.99,Friends
41323-1,Snow Resort Chalet,2017,402,39.99,Friends
41324-1,Snow Resort Ski Lift,2017,585,59.99,Friends
41325-1,Heartlake City Playground,2017,326,39.99,Friends
41327-1,Mia's Bedroom,2018,86,9.99,Friends
41328-1,Stephanie's Bedroom,2018,95,9.99,Friends
41329-1,Olivia's Deluxe Bedroom,2018,163,14.99,Friends
41330-1,Stephanie's Soccer Practice,2018,119,14.99,Friends
41332-1,Emma's Art Stand,2018,210,19.99,Friends
41333-1,Olivia's Mission Vehicle,2018,223,19.99,Friends
41334-1,Andrea's Park Performance,2018,229,24.99,Friends
41335-1,Mia's Tree House,2018,351,29.99,Friends
41336-1,Emma's Art Café,2018,378,32.99,Friends
41337-1,Underwater Loop,2019,389,29.99,Friends
41338-1,Stephanie's Sports Arena,2018,460,44.99,Friends
41339-1,Mia's Camper Van,2018,489,54.99,Friends
41340-1,Friendship House,2018,729,69.99,Friends
41341-1,Andrea's Bedroom,2018,85,9.99,Friends
41342-1,Emma's Deluxe Bedroom,2018,183,14.99,Friends
41343-1,Heartlake City Airplane Tour,2018,331,29.99,Friends
41344-1,Andrea's Accessories Store,2018,294,29.99,Friends
41345-1,Heartlake City Pet Center,2018,483,59.99,Friends
41346-1,Friendship Box,2018,563,49.99,Friends
41347-1,Heartlake City Resort,2018,1019,99.99,Friends
41348-1,Service & Care Truck,2018,255,19.99,Friends
41349-1,Drifting Diner,2018,345,29.99,Friends
41350-1,Spinning Brushes Car Wash,2018,325,29.99,Friends
41351-1,Creative Tuning Shop,2018,421,39.99,Friends
41352-1,The Big Race Day,2018,648,59.99,Friends
41354-1,Andrea's Heart Box,2019,84,7.99,Friends
41355-1,Emma's Heart Box,2019,85,7.99,Friends
41356-1,Stephanie's Heart Box,2019,85,7.99,Friends
41357-1,Olivia's Heart Box,2019,85,7.99,Friends
41358-1,Mia's Heart Box,2019,83,7.99,Friends
41359-1,Heart Box Friendship Pack,2019,199,19.99,Friends
41360-1,Emma's Mobile Vet Clinic,2019,50,9.99,Friends
41361-1,Mia’s Foal Stable,2019,119,19.99,Friends
41362-1,Heartlake City Supermarket,2019,139,29.99,Friends
41363-1,Mia's Forest Adventure,2019,134,14.99,Friends
41364-1,Stephanie's Buggy & Trailer,2019,166,19.99,Friends
41365-1,Emma's Art Studio,2019,235,24.99,Friends
41366-1,Olivia's Cupcake Cafe,2019,335,29.99,Friends
41367-1,Stephanie's Horse Jumping,2019,352,39.99,Friends
41368-1,Andrea's Talent Show,2019,492,49.99,Friends
41369-1,Mia's House,2019,725,69.99,Friends
41371-1,Mia’s Horse Trailer,2019,216,29.99,Friends
41372-1,Stephanie’s Gymnastics Show,2019,240,29.99,Friends
41373-1,Funny Octopus Ride,2019,324,39.99,Friends
41374-1,Andrea’s Pool Party,2019,468,49.99,Friends
41375-1,Heartlake City Amusement Pier,2019,1267,129.99,Friends
41376-1,Turtles Rescue Mission,2019,225,19.99,Friends
41378-1,Dolphins Rescue Mission,2019,374,39.99,Friends
41379-1,Heartlake City Restaurant,2019,640,59.99,Friends
41380-1,Lighthouse Rescue Center,2019,622,59.99,Friends
41381-1,Rescue Mission Boat,2019,928,89.99,Friends
41383-1,Olivia's Hamster Playground,2019,81,9.99,Friends
41384-1,Andrea's Summer Heart Box,2019,83,7.99,Friends
41385-1,Emma's Summer Heart Box,2019,86,7.99,Friends
41386-1,Stephanie's Summer Heart Box,2019,95,7.99,Friends
41387-1,Olivia's Summer Heart Box,2019,93,7.99,Friends
41388-1,Mia's Summer Heart Box,2019,85,7.99,Friends
41389-1,Ice Cream Cart,2020,97,9.99,Friends
41390-1,Andrea's Car & Stage,2020,240,19.99,Friends
41391-1,Heartlake City Hair Salon,2020,235,19.99,Friends
41392-1,Nature Glamping,2020,240,29.99,Friends
41393-1,Baking Competition,2020,350,39.99,Friends
41394-1,Heartlake City Hospital,2020,388,49.99,Friends
41395-1,Friendship Bus,2020,778,69.99,Friends
41396-1,Puppy Playground,2020,57,9.99,Friends
41397-1,Juice Truck,2020,103,19.99,Friends
41398-1,4+ Stephanie's House,2020,170,39.99,Friends
41400-1,Andrea’s Play Cube,2020,49,9.99,Friends
41401-1,Stephanie’s Play Cube,2020,44,9.99,Friends
41402-1,Olivia’s Play Cube,2020,40,9.99,Friends
41403-1,Mia's Play Cube,2020,41,9.99,Friends
41404-1,Emma's Play Cube,2020,36,9.99,Friends
41405-1,Andrea's Shopping Play Cube,2020,40,9.99,Friends
41406-1,Stephanie's Shopping Play Cube,2020,44,9.99,Friends
41407-1,Olivia's Shopping Play Cube,2020,47,9.99,Friends
41408-1,Mia's Shopping Play Cube,2020,37,9.99,Friends
41409-1,Emma's Shopping Play Cube,2020,49,9.99,Friends
41410-1,Andrea's Summer Play Cube,2020,43,9.99,Friends
41411-1,Stephanie's Summer Play Cube,2020,47,9.99,Friends
41412-1,Olivia's Summer Play Cube,2020,48,9.99,Friends
41413-1,Mia's Summer Play Cube,2020,50,9.99,Friends
41414-1,Emma's Summer Play Cube,2020,51,9.99,Friends
41421-1,Baby Elephant Jungle Rescue,2020,203,19.99,Friends
41422-1,Panda Jungle Tree House,2020,265,29.99,Friends
41423-1,Tiger Hot Air Balloon Jungle Rescue,2020,302,39.99,Friends
41424-1,Jungle Rescue Base,2020,657,79.99,Friends
41425-1,Olivia's Flower Garden,2020,91,9.99,Friends
41426-1,Heartlake City Park Café,2020,224,19.99,Friends
41427-1,Emma's Fashion Shop,2020,342,29.99,Friends
41428-1,Beach House,2020,444,49.99,Friends
41429-1,Heartlake City Airplane,2020,573,69.99,Friends
41430-1,Summer Fun Water Park,2020,1012,99.99,Friends
41431-1,Heartlake City Brick Box,2020,336,39.99,Friends
41432-1,Alpaca Rescue in the Jungle,2020,512,59.99,Friends
41433-1,Party Boat,2020,640,79.99,Friends
41434-1,Andrea's Jungle Play Cube,2020,47,9.99,Friends
41435-1,Stephanie's Jungle Play Cube,2020,41,9.99,Friends
41436-1,Olivia's Jungle Play Cube,2020,51,9.99,Friends
41437-1,Mia's Jungle Play Cube,2020,43,9.99,Friends
41438-1,Emma's Jungle Play Cube,2020,50,NA,Friends
41439-1,Cat Grooming Car,2021,60,9.99,Friends
41443-1,Olivia's Electric Car,2021,182,14.99,Friends
41444-1,Heartlake City Organic Café,2021,314,29.99,Friends
41447-1,Heartlake City Park,2021,431,39.99,Friends
41448-1,Heartlake City Movie Theater,2021,464,49.99,Friends
41449-1,Andrea's Family House,2021,806,69.99,Friends
41662-1,Olivia's Flamingo Cube,2021,40,9.99,Friends
41663-1,Emma's Dalmatian Cube,2021,40,9.99,Friends
41664-1,Mia's Pug Cube,2021,39,9.99,Friends
41665-1,Stephanie's Cat Cube,2021,45,9.99,Friends
41666-1,Andrea's Bunny Cube,2021,44,9.99,Friends
41691-1,Doggy Day Care,2021,220,19.99,Friends
41692-1,Vet Clinic Rescue Helicopter,2021,248,19.99,Friends
41999-1,4 x 4 Crawler Exclusive Edition,2013,1584,199.99,Technic
42000-1,Grand Prix Racer,2013,1141,129.99,Technic
4200-1,Mining 4 x 4,2012,102,11.99,Town
42001-1,Mini Off-Roader,2013,100,12.99,Technic
42002-1,Hovercraft,2013,170,19.99,Technic
42004-1,Mini Backhoe Loader,2013,246,24.99,Technic
42005-1,Monster Truck,2013,329,49.99,Technic
42006-1,Excavator,2013,720,79.99,Technic
42007-1,Moto Cross Bike,2013,253,39.99,Technic
42008-1,Service Truck,2013,1276,129.99,Technic
42009-1,Mobile Crane MK II,2013,2607,219.99,Technic
42010-1,Off-Road Racer,2013,160,19.99,Technic
4201-1,Loader and Dump Truck,2012,139,17.99,Town
42011-1,Race Car,2013,158,19.99,Technic
42020-1,Twin Rotor Helicopter,2014,145,12.99,Technic
4202-1,Mining Truck,2012,269,34.99,Town
42021-1,Snowmobile,2014,186,19.99,Technic
42022-1,Hot Rod,2014,414,39.99,Technic
42023-1,Construction Crew,2014,836,69.99,Technic
42024-1,Container Truck,2014,948,79.99,Technic
42025-1,Cargo Plane,2014,1297,139.99,Technic
42026-1,Black Champion Racer,2014,138,19.99,Technic
42027-1,Desert Racer,2014,149,19.99,Technic
42028-1,Bulldozer,2014,617,49.99,Technic
42029-1,Customized Pick up Truck,2014,1063,99.99,Technic
42030-1,Remote-Controlled Volvo L350F Wheel Loader,2014,1636,249.99,Technic
4203-1,Excavator Transporter,2012,305,39.99,Town
42031-1,Cherry Picker,2015,155,12.99,Technic
42032-1,Compact Tracked Loader,2015,252,19.99,Technic
42033-1,Record Breaker,2015,125,19.99,Technic
42034-1,Quad Bike,2015,148,19.99,Technic
42035-1,Mining Truck,2015,362,29.99,Technic
42036-1,Street Motorcycle,2015,375,39.99,Technic
42037-1,Formula Off-Roader,2015,494,59.99,Technic
42038-1,Arctic Truck,2015,913,84.99,Technic
42039-1,24 Hours Race Car,2015,1219,129.99,Technic
42040-1,Fire Plane,2015,578,49.99,Technic
4204-1,The Mine,2012,748,99.99,Town
42041-1,Race Truck,2015,608,69.99,Technic
42042-1,Crawler Crane,2015,1400,149.99,Technic
42043-1,Mercedes-Benz Arocs 3245,2015,2793,229.99,Technic
42044-1,Display Team Jet,2016,113,12.99,Technic
42045-1,Hydroplane Racer,2016,180,19.99,Technic
42046-1,Getaway Racer,2016,170,19.99,Technic
42047-1,Police Interceptor,2016,185,19.99,Technic
42048-1,Race Kart,2016,345,29.99,Technic
42049-1,Mine Loader,2016,476,49.99,Technic
42050-1,Drag Racer,2016,647,79.99,Technic
4205-1,Off Road Command Center,2012,403,39.99,Town
42052-1,Heavy Lift Helicopter,2016,1042,139.99,Technic
42053-1,Volvo EW160E,2016,1166,119.99,Technic
42054-1,CLAAS XERION 5000 TRAC VC,2016,1976,179.99,Technic
42055-1,Bucket Wheel Excavator,2016,3929,279.99,Technic
42056-1,Porsche 911 GT3 RS,2016,2704,299.99,Technic
42057-1,Ultralight Helicopter,2017,199,19.99,Technic
42058-1,Stunt Bike,2017,140,19.99,Technic
42059-1,Stunt Truck,2017,142,19.99,Technic
42060-1,Roadwork Crew,2017,365,29.99,Technic
42061-1,Telehandler,2017,260,39.99,Technic
4206-2,Recycling Truck,2012,297,29.99,Town
42062-1,Container Yard,2017,631,59.99,Technic
42063-1,BMW R 1200 GS Adventure,2017,603,59.99,Technic
42063-40,Technic 40 year anniversary model (42057 + 42061 + 42063),2017,573,NA,Technic
42064-1,Ocean Explorer,2017,1327,119.99,Technic
42065-1,RC Tracked Racer,2017,370,99.99,Technic
42066-1,Air Race Jet,2017,1151,159.99,Technic
42068-1,Airport Rescue Vehicle,2017,1106,99.99,Technic
42069-1,Extreme Adventure,2017,2382,179.99,Technic
42070-1,6x6 All Terrain Tow Truck,2017,1862,289.99,Technic
4207-1,City Garage,2012,938,119.99,Town
42071-1,Dozer Compactor,2018,171,19.99,Technic
42072-1,WHACK!,2018,135,19.99,Technic
42073-1,BASH!,2018,139,19.99,Technic
42074-1,Racing Yacht,2018,330,39.99,Technic
42075-1,First Responder,2018,513,49.99,Technic
42076-1,Hovercraft,2018,1020,89.99,Technic
42077-1,Rally Car,2018,1005,109.99,Technic
42078-1,Mack Anthem,2018,2595,179.99,Technic
42079-1,Heavy Duty Forklift,2018,592,69.99,Technic
42080-1,Forest Machine,2018,1003,149.99,Technic
4208-1,4x4 Fire Truck,2012,243,19.99,Town
42081-1,Volvo Concept Wheel Loader ZEUX,2018,1167,139.99,Technic
42082-1,Rough Terrain Crane,2018,4056,299.99,Technic
42083-1,Bugatti Chiron,2018,3599,349.99,Technic
42084-1,Hook Loader,2018,176,14.99,Technic
42088-1,Cherry Picker,2019,155,9.99,Technic
42089-1,Power Boat,2019,174,14.99,Technic
42090-1,Getaway Truck,2019,128,19.99,Technic
4209-1,Fire Plane,2012,522,59.99,Town
42091-1,Police Pursuit,2019,120,19.99,Technic
42092-1,Rescue Helicopter,2019,325,39.99,Technic
42093-1,Chevrolet Corvette ZR1,2019,579,49.99,Technic
42094-1,Tracked Loader,2019,827,79.99,Technic
42095-1,Remote-Controlled Stunt Racer,2019,324,99.99,Technic
42096-1,Porsche 911 RSR,2019,1580,149.99,Technic
42097-1,Compact Crawler Crane,2019,920,99.99,Technic
42098-1,Car Transporter,2019,2493,179.99,Technic
42099-1,4x4 X-treme Off-Roader,2019,958,249.99,Technic
42100-1,Liebherr R 9800 Excavator,2019,4108,449.99,Technic
42101-1,Buggy,2020,117,12.99,Technic
42102-1,Mini CLAAS XERION,2020,130,12.99,Technic
42103-1,Dragster,2020,225,19.99,Technic
42104-1,Race Truck,2020,227,19.99,Technic
42105-1,Catamaran,2020,404,49.99,Technic
42106-1,Stunt Show Truck & Bike,2020,610,49.99,Technic
42107-1,Ducati Panigale V4 R,2020,646,69.99,Technic
42108-1,Mobile Crane,2020,1292,99.99,Technic
42109-1,App-Controlled Top Gear Rally Car,2020,463,129.99,Technic
42110-1,Land Rover Defender,2019,2571,199.99,Technic
42111-1,Dom’s Dodge Charger,2020,1077,99.99,Technic
42112-1,Cement Mixer,2020,1161,119.99,Technic
42113-1,Bell Boeing V-22 Osprey,2020,1635,149.99,Technic
42114-1,6x6 Volvo Articulated Hauler,2020,2193,249.99,Technic
42115-1,Lamborghini Sián FKP 37,2020,3696,379.99,Technic
42116-1,Skid Steer Loader,2021,140,9.99,Technic
42117-1,Race Plane,2021,154,9.99,Technic
42118-1,Monster Jam Grave Digger,2021,212,19.99,Technic
42119-1,Monster Jam Max-D,2021,230,19.99,Technic
42122-1,Jeep Wrangler,2021,665,49.99,Technic
42123-1,McLaren Senna GTR,2021,830,49.99,Technic
42124-1,Off-Road Buggy,2021,373,129.99,Technic
42125-1,"Ferrari 488 GTE ""AF Corse #51""",2021,1677,169.99,Technic
4427-1,Fire ATV,2012,50,5.99,Town
4429-1,Helicopter Rescue,2012,425,59.99,Town
4430-1,Mobile Fire Command Center,2012,522,49.99,Town
4431-1,Ambulance,2012,199,19.99,Town
4432-1,Garbage Truck,2012,212,19.99,Town
4433-1,Dirt Bike Transporter,2012,206,19.99,Town
4434-1,Tipper Truck,2012,222,19.99,Town
4435-1,Car and Caravan,2012,218,19.99,Town
4436-1,Patrol Car,2012,97,11.99,Town
4437-1,Police Pursuit,2012,129,17.99,Town
4438-1,Robbers' Hideout,2012,317,39.99,Town
4439-1,Heavy-Duty Helicopter,2012,393,49.99,Town
4440-1,Forest Police Station,2012,633,79.99,Town
4441-1,Police Dog Van,2012,315,34.99,Town
4442-1,Glider,2012,101,NA,Town
4473-1,Police Helicopter,2012,112,17.99,Town
4625-1,Pink Brick Box,2012,224,14.99,Creator
4626-1,Farm Brick Box,2012,232,14.99,Creator
4628-1,Fun with Bricks,2012,600,29.99,Creator
4630-1,Build and Play Box,2012,1000,NA,Creator
4635-1,Fun with Vehicles,2012,530,29.99,Creator
4636-1,Police Building Set,2012,130,9.99,Creator
4637-1,Safari Building Set,2012,152,9.99,Creator
4659602-1,Display Stand,2012,17,NA,Friends
4659612-1,Spinner Ring,2012,1,NA,Ninjago
471518-1,Happy The Cute Dolphin,2015,17,NA,Friends
471602-1,Pony Grooming Kit,2016,28,NA,Friends
471701-1,Lloyd,2017,6,NA,Ninjago
471702-1,Mia,2017,8,NA,Friends
471801-1,Dolphin and Crab,2018,31,NA,Friends
471904-1,Diamond's Show Jump,2019,32,NA,Friends
5000030-1,Booster Pack Kendo Jay,2012,31,NA,Ninjago
5000062-1,Darth Maul,2012,7,0,Star Wars
5000063-1,TC-14,2012,3,0,Star Wars
5000245-1,Stephanie,2012,5,4.99,Friends
5000281-1,Chase McCain,2012,4,0,Town
5001621-1,Han Solo (Hoth),2013,5,NA,Star Wars
5001709-1,Clone Trooper Lieutenant,2013,5,NA,Star Wars
5002112-1,Bracelets,2014,18,NA,Friends
5002113-1,Beach Hammock,2014,23,NA,Friends
5002122-1,TC-4,2014,3,NA,Star Wars
5002123-1,Darth Revan,2014,7,NA,Star Wars
5002136-1,Arctic Accessory Set,2014,25,NA,Town
5002144-1,Dareth vs. Nindroid,2014,10,4.99,Ninjago
5002919-1,Scenery and Dagger Trap,2015,25,NA,Ninjago
5002920-1,Accessory Pack,2015,26,NA,Ninjago
5002928-1,Party Polybag,2015,11,NA,Friends
5002929-1,Friends Interior Design Kit,2015,28,NA,Friends
5002930-1,Hair Accessories,2015,6,NA,Friends
5002931-1,Disco Dance Floor,2015,26,NA,Friends
5002938-1,Stormtrooper Sergeant,2015,6,NA,Star Wars
5002939-1,The Phantom,2015,23,NA,Star Wars
5002947-1,Admiral Yularen,2015,4,NA,Star Wars
5002948-1,C-3PO,2015,3,3.99,Star Wars
5003085-1,Minifigure Pack,2015,17,NA,Ninjago
5004391-1,Sky Pirates Battle,2016,32,NA,Ninjago
5004393-1,Stone Armor Cole,2016,7,NA,Ninjago
5004394-1,Ninjago Movie Maker,2017,49,NA,Ninjago
5004395-1,Jewelry and Sticker Pack,2016,12,NA,Friends
5004398-1,Friends Playmat,2016,26,NA,Friends
5004404-1,Police Chase,2016,36,NA,Town
5004406-1,First Order General,2016,4,NA,Star Wars
5004408-1,Rebel A-wing Pilot,2016,5,NA,Star Wars
5004916-1,Kai's Dojo Pod,2017,37,NA,Ninjago
5004920-1,Ski Pod,2017,23,NA,Friends
5004938-1,Collectible Minifigures - Ninjago,2017,29,19.99,Ninjago
5005230-1,Zane's Kendo Training Pod,2018,28,NA,Ninjago
5005236-1,Friends Clubhouse,2018,29,6.99,Friends
5005237-1,Friendship Rings,2018,31,NA,Friends
5005238-1,Pet Go-Kart Racers,2018,60,NA,Friends
5005376-1,Darth Vader,2018,37,NA,Star Wars
5006171-1,The United Trinity Statue,2020,37,NA,Creator
5006290-1,Yoda's Lightsaber,2020,140,NA,Star Wars
55555-1,Star Wars Mini Millennium Falcon,2017,20,NA,Star Wars
561407-1,Charlie The Puppy,2014,13,NA,Friends
561408-1,Summer Beach,2014,27,NA,Friends
561409-1,Cookie Kitchen,2014,28,NA,Friends
561410-1,Halloween Toy Shop,2014,29,NA,Friends
561411-1,Cute Kitten,2014,24,NA,Friends
561412-1,Christmas Tree,2014,35,NA,Friends
561501-1,Penguin Ice Slide,2015,10,NA,Friends
561502-1,Dressing Table,2015,22,NA,Friends
561503-1,Bunny And Garden,2015,18,NA,Friends
561504-1,Party And Cake,2015,23,NA,Friends
561505-1,Picnic Set,2015,21,NA,Friends
561506-1,Sweet Garden And Kitchen,2015,23,NA,Friends
561507-1,Garden And Wheelbarrow,2015,20,NA,Friends
561508-1,Turtle’s island,2015,19,NA,Friends
561509-1,Guitar And Stage,2015,21,NA,Friends
561510-1,Trick Or Treat,2015,19,NA,Friends
561511-1,Hedgehog In The Woods,2015,20,NA,Friends
561512-1,Winter Fun,2015,24,NA,Friends
561601-1,Baby Parrot And Nest,2016,16,NA,Friends
561602-1,Valentine's Post Box,2016,24,NA,Friends
561603-1,Cookie The Superstar,2016,20,NA,Friends
561604-1,Cute Kitchen,2016,24,NA,Friends
561605-1,Ice Cream Cart,2016,24,NA,Friends
561606-1,Rabbit and Hutch,2016,18,NA,Friends
561607-1,Happy Beach,2016,17,NA,Friends
561608-1,Cookie Cart,2016,29,NA,Friends
561609-1,Olivia's Laboratory,2016,19,NA,Friends
561610-1,Scary Shop,2016,27,NA,Friends
561611-1,Gift Wrapping Table,2016,22,NA,Friends
561612-1,Christmas Fireplace,2016,23,NA,Friends
561701-1,Bear in Ice Cave,2017,24,NA,Friends
561702-1,Kitten Felix,2017,24,NA,Friends
561703-1,Fruit Bar,2017,24,NA,Friends
561704-1,Turtle on a Beach,2017,25,NA,Friends
561705-1,Wardrobe of Future Star,2017,24,NA,Friends
561706-1,Home Bakery,2017,29,NA,Friends
561801-1,Wishing Well with Andrea's Little Bird,2018,21,NA,Friends
561802-1,Andrea's Fashion Design Studio,2018,27,NA,Friends
561803-1,Ping-Pong Table,2018,17,NA,Friends
561804-1,Bunnies' Playground,2018,33,NA,Friends
561805-1,Veterinary Cabinet,2018,33,NA,Friends
561806-1,Mia's Fruit Stall,2018,26,NA,Friends
561807-1,Beach Shop,2018,27,NA,Friends
561808-1,Dog Hairdresser Salon,2018,26,NA,Friends
561809-1,Andrea's Stage,2018,32,NA,Friends
561810-1,Olivia's Observatory,2018,29,NA,Friends
561811-1,Winter World,2018,30,NA,Friends
561901-1,Emma's Studio and Kitty Chico,2019,22,NA,Friends
561902-1,Andrea's Fancy Dress Stand,2019,30,NA,Friends
561903-1,Baby's Picnic,2019,16,NA,Friends
561904-1,Biscuit's Cozy Forest Cave,2019,22,NA,Friends
561905-1,Andrea's Waffle Booth,2019,29,NA,Friends
561906-1,Rumble & Zobito's Sea Rescue,2019,25,NA,Friends
561907-1,Olivia’s Ice Cream Machine,2019,38,NA,Friends
561908-1,Andrea's Stage,2019,21,NA,Friends
561909-1,Stephanie's Puppy Dash,2019,20,NA,Friends
561910-1,Halloween Shop,2019,15,NA,Friends
561911-1,Olivia's Brilliant Bakery,2019,38,NA,Friends
562001-1,Cake Decorating Set,2020,35,NA,Friends
562002-1,Olivia's Snack Stand,2020,30,NA,Friends
562003-1,Vet Set,2020,32,NA,Friends
