set,name,year,num_parts,price,theme
21104-1,NASA Mars Science Laboratory Curiosity Rover,2014,295,29.99,Ideas
21108-1,Ghostbusters Ecto-1,2014,508,49.99,Ideas
21109-1,Exo-Suit,2014,321,34.99,Ideas
21110-1,Research Institute,2014,164,19.99,Ideas
21301-1,Birds,2015,580,44.99,Ideas
21302-1,The Big Bang Theory,2015,500,59.99,Ideas
21303-1,WALL•E [Original Version],2015,677,59.99,Ideas
21303-2,WALL•E [Fixed Neck Version],2015,676,NA,Ideas
21304-1,Doctor Who,2015,623,59.99,Ideas
21305-1,Maze,2016,769,69.99,Ideas
21306-1,The Beatles Yellow Submarine,2016,553,59.99,Ideas
21307-1,Caterham Seven 620R,2016,771,79.99,Ideas
21308-1,Adventure Time,2016,496,49.99,Ideas
21309-1,NASA Apollo Saturn V,2017,1969,119.99,Ideas
21310-1,Old Fishing Store,2017,2057,149.99,Ideas
21311-1,Voltron,2018,2321,179.99,Ideas
21312-1,Women of NASA,2017,231,24.99,Ideas
21313-1,Ship in a Bottle,2018,962,69.99,Ideas
21314-1,TRON: Legacy,2018,230,34.99,Ideas
21315-1,Pop-Up Book,2018,859,69.99,Ideas
21316-1,The Flintstones,2019,748,59.99,Ideas
21317-1,Steamboat Willie,2019,751,89.99,Ideas
21318-1,Tree House,2019,3037,199.99,Ideas
21319-1,Central Perk,2019,1070,59.99,Ideas
21320-1,Dinosaur Fossils,2019,911,59.99,Ideas
21321-1,International Space Station,2020,864,69.99,Ideas
21322-1,Pirates of Barracuda Bay,2020,2546,199.99,Ideas
21323-1,Grand Piano,2020,3662,349.99,Ideas
21324-1,123 Sesame Street,2020,1367,119.99,Ideas
21325-1,Medieval Blacksmith,2021,2164,149.99,Ideas
30017-1,Police Boat,2012,35,3.99,Town
30018-1,Police Plane,2012,32,3.99,Town
30019-1,Fire Helicopter,2012,37,NA,Town
30056-1,Star Destroyer,2012,38,NA,Star Wars
30057-1,Anakin's Podracer,2012,38,4.99,Star Wars
30058-1,STAP,2012,19,NA,Star Wars
30059-1,MTT,2012,51,3.97,Star Wars
30085-1,Jumping Snakes,2012,42,NA,Ninjago
30086-1,Hidden Sword,2012,39,NA,Ninjago
30087-1,Cole ZX's Car,2012,27,NA,Ninjago
30088-1,Rattla,2012,5,NA,Ninjago
30100-1,Andrea on the Beach,2012,28,NA,Friends
30101-1,Skate Boarder,2012,28,4.99,Friends
30102-1,Desk,2012,28,3.97,Friends
30103-1,Car,2012,32,3.97,Friends
30105-1,Stephanie and Mailbox,2012,41,3.99,Friends
30106-1,Ice Cream Stand,2013,34,4.99,Friends
30107-1,Birthday Party,2013,39,NA,Friends
30108-1,Summer Picnic,2013,33,NA,Friends
