School,EthnicGroup,Level,Students
A1 Student Limited,European,Year 10,1
A1 Student Limited,European,Year 11,1
A1 Student Limited,European,Year 4,2
A1 Student Limited,Asian,Year 5,1
A1 Student Limited,European,Year 5,2
A1 Student Limited,European,Year 7,5
A1 Student Limited,Asian,Year 8,3
A1 Student Limited,European,Year 8,4
A1 Student Limited,European,Year 9,3
ACG Parnell College,Asian,Year 1,27
ACG Parnell College,European,Year 1,2
ACG Parnell College,Pacific,Year 10,3
ACG Parnell College,Asian,Year 10,132
ACG Parnell College,MELAA,Year 10,1
ACG Parnell College,Other,Year 10,1
ACG Parnell College,European,Year 10,31
ACG Parnell College,International fee paying,Year 10,13
ACG Parnell College,Māori,Year 11,1
ACG Parnell College,Asian,Year 11,173
ACG Parnell College,MELAA,Year 11,4
ACG Parnell College,Other,Year 11,2
ACG Parnell College,European,Year 11,30
ACG Parnell College,International fee paying,Year 11,15
ACG Parnell College,Asian,Year 12,135
ACG Parnell College,MELAA,Year 12,1
ACG Parnell College,Other,Year 12,1
ACG Parnell College,European,Year 12,35
ACG Parnell College,International fee paying,Year 12,23
ACG Parnell College,Māori,Year 13,1
ACG Parnell College,Pacific,Year 13,1
ACG Parnell College,Asian,Year 13,80
ACG Parnell College,MELAA,Year 13,3
ACG Parnell College,Other,Year 13,1
ACG Parnell College,European,Year 13,30
ACG Parnell College,International fee paying,Year 13,22
ACG Parnell College,Asian,Year 14,27
ACG Parnell College,Other,Year 14,2
ACG Parnell College,European,Year 14,5
ACG Parnell College,International fee paying,Year 14,13
ACG Parnell College,Asian,Year 15,1
ACG Parnell College,International fee paying,Year 15,1
ACG Parnell College,Asian,Year 2,48
ACG Parnell College,MELAA,Year 2,1
ACG Parnell College,European,Year 2,3
ACG Parnell College,Pacific,Year 3,1
ACG Parnell College,Asian,Year 3,35
ACG Parnell College,Other,Year 3,1
ACG Parnell College,European,Year 3,5
ACG Parnell College,International fee paying,Year 3,2
ACG Parnell College,Asian,Year 4,67
ACG Parnell College,MELAA,Year 4,1
ACG Parnell College,European,Year 4,4
ACG Parnell College,International fee paying,Year 4,1
ACG Parnell College,Asian,Year 5,54
ACG Parnell College,MELAA,Year 5,2
ACG Parnell College,Other,Year 5,3
ACG Parnell College,European,Year 5,4
ACG Parnell College,International fee paying,Year 5,3
ACG Parnell College,Asian,Year 6,68
ACG Parnell College,European,Year 6,6
ACG Parnell College,International fee paying,Year 6,2
ACG Parnell College,Māori,Year 7,2
ACG Parnell College,Asian,Year 7,152
ACG Parnell College,MELAA,Year 7,1
ACG Parnell College,Other,Year 7,2
ACG Parnell College,European,Year 7,16
ACG Parnell College,International fee paying,Year 7,2
ACG Parnell College,Māori,Year 8,1
ACG Parnell College,Asian,Year 8,139
ACG Parnell College,MELAA,Year 8,1
ACG Parnell College,Other,Year 8,3
ACG Parnell College,European,Year 8,29
ACG Parnell College,International fee paying,Year 8,7
ACG Parnell College,Pacific,Year 9,1
ACG Parnell College,Asian,Year 9,158
ACG Parnell College,MELAA,Year 9,4
ACG Parnell College,Other,Year 9,1
ACG Parnell College,European,Year 9,24
ACG Parnell College,International fee paying,Year 9,11
ACG Strathallan,Pacific,Year 1,3
ACG Strathallan,Asian,Year 1,47
ACG Strathallan,Other,Year 1,1
ACG Strathallan,European,Year 1,4
ACG Strathallan,Māori,Year 10,9
ACG Strathallan,Pacific,Year 10,4
ACG Strathallan,Asian,Year 10,43
ACG Strathallan,MELAA,Year 10,2
ACG Strathallan,European,Year 10,75
ACG Strathallan,International fee paying,Year 10,2
ACG Strathallan,Māori,Year 11,5
ACG Strathallan,Pacific,Year 11,2
ACG Strathallan,Asian,Year 11,43
ACG Strathallan,MELAA,Year 11,5
ACG Strathallan,Other,Year 11,1
ACG Strathallan,European,Year 11,54
ACG Strathallan,International fee paying,Year 11,7
ACG Strathallan,Māori,Year 12,5
ACG Strathallan,Pacific,Year 12,3
ACG Strathallan,Asian,Year 12,38
ACG Strathallan,MELAA,Year 12,2
ACG Strathallan,European,Year 12,55
ACG Strathallan,International fee paying,Year 12,4
ACG Strathallan,Māori,Year 13,2
ACG Strathallan,Pacific,Year 13,3
ACG Strathallan,Asian,Year 13,31
ACG Strathallan,MELAA,Year 13,1
ACG Strathallan,European,Year 13,47
ACG Strathallan,International fee paying,Year 13,3
ACG Strathallan,Asian,Year 14,7
ACG Strathallan,Other,Year 14,1
ACG Strathallan,European,Year 14,12
ACG Strathallan,International fee paying,Year 14,1
ACG Strathallan,Asian,Year 2,28
ACG Strathallan,European,Year 2,22
ACG Strathallan,Pacific,Year 3,1
ACG Strathallan,Asian,Year 3,27
ACG Strathallan,MELAA,Year 3,1
ACG Strathallan,European,Year 3,10
ACG Strathallan,International fee paying,Year 3,2
ACG Strathallan,Pacific,Year 4,1
ACG Strathallan,Asian,Year 4,33
ACG Strathallan,European,Year 4,13
ACG Strathallan,International fee paying,Year 4,1
ACG Strathallan,Asian,Year 5,25
ACG Strathallan,European,Year 5,12
ACG Strathallan,Māori,Year 6,1
ACG Strathallan,Pacific,Year 6,1
ACG Strathallan,Asian,Year 6,41
ACG Strathallan,Other,Year 6,1
ACG Strathallan,European,Year 6,24
ACG Strathallan,International fee paying,Year 6,3
ACG Strathallan,Māori,Year 7,4
ACG Strathallan,Pacific,Year 7,2
ACG Strathallan,Asian,Year 7,38
ACG Strathallan,MELAA,Year 7,2
ACG Strathallan,European,Year 7,36
ACG Strathallan,International fee paying,Year 7,1
ACG Strathallan,Māori,Year 8,7
ACG Strathallan,Pacific,Year 8,3
ACG Strathallan,Asian,Year 8,37
ACG Strathallan,MELAA,Year 8,2
ACG Strathallan,Other,Year 8,1
ACG Strathallan,European,Year 8,54
ACG Strathallan,International fee paying,Year 8,1
ACG Strathallan,Māori,Year 9,8
ACG Strathallan,Pacific,Year 9,5
ACG Strathallan,Asian,Year 9,48
ACG Strathallan,MELAA,Year 9,2
ACG Strathallan,Other,Year 9,2
ACG Strathallan,European,Year 9,86
ACG Strathallan,International fee paying,Year 9,3
ACG Sunderland,Asian,Year 1,31
ACG Sunderland,European,Year 1,9
ACG Sunderland,Pacific,Year 10,1
ACG Sunderland,Asian,Year 10,33
ACG Sunderland,MELAA,Year 10,2
ACG Sunderland,European,Year 10,22
ACG Sunderland,International fee paying,Year 10,4
ACG Sunderland,Asian,Year 11,29
ACG Sunderland,MELAA,Year 11,1
ACG Sunderland,European,Year 11,13
ACG Sunderland,International fee paying,Year 11,6
ACG Sunderland,Māori,Year 12,1
ACG Sunderland,Pacific,Year 12,1
ACG Sunderland,Asian,Year 12,30
ACG Sunderland,MELAA,Year 12,1
ACG Sunderland,European,Year 12,9
ACG Sunderland,International fee paying,Year 12,5
ACG Sunderland,Asian,Year 13,17
ACG Sunderland,European,Year 13,12
ACG Sunderland,International fee paying,Year 13,3
ACG Sunderland,Asian,Year 14,13
ACG Sunderland,European,Year 14,1
ACG Sunderland,International fee paying,Year 14,2
ACG Sunderland,International fee paying,Year 15,3
ACG Sunderland,Māori,Year 2,1
ACG Sunderland,Pacific,Year 2,1
ACG Sunderland,Asian,Year 2,42
ACG Sunderland,MELAA,Year 2,1
ACG Sunderland,Other,Year 2,2
ACG Sunderland,European,Year 2,3
ACG Sunderland,International fee paying,Year 2,1
ACG Sunderland,Pacific,Year 3,2
ACG Sunderland,Asian,Year 3,42
ACG Sunderland,Other,Year 3,2
ACG Sunderland,European,Year 3,7
ACG Sunderland,International fee paying,Year 3,2
ACG Sunderland,Asian,Year 4,54
ACG Sunderland,MELAA,Year 4,2
ACG Sunderland,European,Year 4,4
ACG Sunderland,International fee paying,Year 4,2
ACG Sunderland,Asian,Year 5,54
ACG Sunderland,European,Year 5,5
ACG Sunderland,International fee paying,Year 5,1
ACG Sunderland,Pacific,Year 6,1
ACG Sunderland,Asian,Year 6,35
ACG Sunderland,MELAA,Year 6,1
ACG Sunderland,Other,Year 6,1
ACG Sunderland,European,Year 6,8
ACG Sunderland,International fee paying,Year 6,4
ACG Sunderland,Asian,Year 7,50
ACG Sunderland,MELAA,Year 7,3
ACG Sunderland,European,Year 7,20
ACG Sunderland,International fee paying,Year 7,2
ACG Sunderland,Māori,Year 8,1
ACG Sunderland,Pacific,Year 8,1
ACG Sunderland,Asian,Year 8,48
ACG Sunderland,MELAA,Year 8,4
ACG Sunderland,European,Year 8,11
ACG Sunderland,International fee paying,Year 8,1
ACG Sunderland,Māori,Year 9,4
ACG Sunderland,Pacific,Year 9,2
ACG Sunderland,Asian,Year 9,37
ACG Sunderland,MELAA,Year 9,1
ACG Sunderland,European,Year 9,14
ACG Sunderland,International fee paying,Year 9,3
ACG Tauranga,Pacific,Year 1,1
ACG Tauranga,Asian,Year 1,3
ACG Tauranga,MELAA,Year 1,1
ACG Tauranga,European,Year 1,12
ACG Tauranga,International fee paying,Year 1,1
ACG Tauranga,Asian,Year 10,8
ACG Tauranga,MELAA,Year 10,1
ACG Tauranga,European,Year 10,32
ACG Tauranga,International fee paying,Year 10,3
ACG Tauranga,Māori,Year 11,4
ACG Tauranga,Pacific,Year 11,1
ACG Tauranga,Asian,Year 11,11
ACG Tauranga,MELAA,Year 11,2
ACG Tauranga,Other,Year 11,2
ACG Tauranga,European,Year 11,29
ACG Tauranga,International fee paying,Year 11,2
ACG Tauranga,Māori,Year 12,3
ACG Tauranga,Pacific,Year 12,1
ACG Tauranga,Asian,Year 12,4
ACG Tauranga,MELAA,Year 12,1
ACG Tauranga,European,Year 12,20
ACG Tauranga,International fee paying,Year 12,1
ACG Tauranga,Māori,Year 13,1
ACG Tauranga,Asian,Year 13,2
ACG Tauranga,MELAA,Year 13,1
ACG Tauranga,Other,Year 13,1
ACG Tauranga,European,Year 13,18
ACG Tauranga,International fee paying,Year 13,1
ACG Tauranga,Asian,Year 14,2
ACG Tauranga,Other,Year 14,1
ACG Tauranga,European,Year 14,7
ACG Tauranga,Asian,Year 2,1
ACG Tauranga,European,Year 2,10
ACG Tauranga,Asian,Year 3,3
ACG Tauranga,European,Year 3,6
ACG Tauranga,International fee paying,Year 3,1
ACG Tauranga,Asian,Year 4,7
ACG Tauranga,MELAA,Year 4,1
ACG Tauranga,European,Year 4,11
ACG Tauranga,International fee paying,Year 4,3
ACG Tauranga,Māori,Year 5,1
ACG Tauranga,Asian,Year 5,5
ACG Tauranga,European,Year 5,8
ACG Tauranga,Māori,Year 6,1
ACG Tauranga,Asian,Year 6,6
ACG Tauranga,European,Year 6,17
ACG Tauranga,International fee paying,Year 6,3
ACG Tauranga,Māori,Year 7,2
ACG Tauranga,Asian,Year 7,7
ACG Tauranga,MELAA,Year 7,1
ACG Tauranga,Other,Year 7,1
ACG Tauranga,European,Year 7,25
ACG Tauranga,International fee paying,Year 7,3
ACG Tauranga,Māori,Year 8,3
ACG Tauranga,Asian,Year 8,10
ACG Tauranga,MELAA,Year 8,3
ACG Tauranga,Other,Year 8,2
ACG Tauranga,European,Year 8,31
ACG Tauranga,International fee paying,Year 8,4
ACG Tauranga,Māori,Year 9,1
ACG Tauranga,Asian,Year 9,9
ACG Tauranga,European,Year 9,24
AGE School,Asian,Year 1,1
AGE School,European,Year 10,5
AGE School,Asian,Year 11,1
AGE School,European,Year 11,7
AGE School,European,Year 12,4
AGE School,European,Year 13,6
AGE School,Asian,Year 14,1
AGE School,European,Year 14,1
AGE School,Asian,Year 2,2
AGE School,European,Year 2,1
AGE School,Pacific,Year 3,1
AGE School,Asian,Year 3,1
AGE School,European,Year 3,7
AGE School,Asian,Year 4,2
AGE School,European,Year 4,4
AGE School,Asian,Year 5,1
AGE School,European,Year 5,7
AGE School,Māori,Year 6,1
AGE School,European,Year 6,8
AGE School,Māori,Year 7,1
AGE School,Asian,Year 7,1
AGE School,European,Year 7,9
AGE School,European,Year 8,11
AGE School,European,Year 9,9
Abbotsford School,Māori,Year 1,6
Abbotsford School,Pacific,Year 1,2
Abbotsford School,Asian,Year 1,1
Abbotsford School,European,Year 1,32
Abbotsford School,Māori,Year 2,8
Abbotsford School,Pacific,Year 2,1
Abbotsford School,Asian,Year 2,2
Abbotsford School,European,Year 2,41
Abbotsford School,Māori,Year 3,12
Abbotsford School,Pacific,Year 3,2
Abbotsford School,European,Year 3,22
Abbotsford School,Māori,Year 4,10
Abbotsford School,European,Year 4,34
Abbotsford School,Māori,Year 5,11
Abbotsford School,Pacific,Year 5,1
Abbotsford School,Asian,Year 5,2
Abbotsford School,MELAA,Year 5,2
Abbotsford School,European,Year 5,22
Abbotsford School,Māori,Year 6,9
Abbotsford School,Asian,Year 6,1
Abbotsford School,European,Year 6,39
Abbotsford School,Māori,Year 7,9
Abbotsford School,Pacific,Year 7,2
Abbotsford School,Asian,Year 7,1
Abbotsford School,European,Year 7,14
Abbotsford School,Māori,Year 8,1
Abbotsford School,Asian,Year 8,1
Abbotsford School,European,Year 8,8
Aberdeen School,Māori,Year 1,32
Aberdeen School,Pacific,Year 1,6
Aberdeen School,Asian,Year 1,17
Aberdeen School,MELAA,Year 1,2
Aberdeen School,European,Year 1,37
Aberdeen School,Māori,Year 2,33
Aberdeen School,Pacific,Year 2,4
Aberdeen School,Asian,Year 2,25
Aberdeen School,MELAA,Year 2,4
Aberdeen School,European,Year 2,54
Aberdeen School,Māori,Year 3,49
Aberdeen School,Pacific,Year 3,6
Aberdeen School,Asian,Year 3,16
Aberdeen School,MELAA,Year 3,3
Aberdeen School,European,Year 3,42
Aberdeen School,Māori,Year 4,40
Aberdeen School,Pacific,Year 4,5
Aberdeen School,Asian,Year 4,19
Aberdeen School,MELAA,Year 4,6
Aberdeen School,European,Year 4,51
Aberdeen School,Māori,Year 5,35
Aberdeen School,Pacific,Year 5,7
Aberdeen School,Asian,Year 5,16
Aberdeen School,MELAA,Year 5,4
Aberdeen School,European,Year 5,53
Aberdeen School,Māori,Year 6,36
Aberdeen School,Pacific,Year 6,7
Aberdeen School,Asian,Year 6,13
Aberdeen School,MELAA,Year 6,2
Aberdeen School,European,Year 6,51
Aberdeen School,Māori,Year 7,1
Aberdeen School,European,Year 7,4
Aberfeldy School,European,Year 1,1
Aberfeldy School,Māori,Year 2,2
Aberfeldy School,Māori,Year 3,1
Aberfeldy School,European,Year 3,1
Aberfeldy School,Māori,Year 4,1
Aberfeldy School,European,Year 5,1
Aberfeldy School,Māori,Year 6,3
Aberfeldy School,European,Year 6,1
Aberfeldy School,Māori,Year 7,1
Aberfeldy School,Māori,Year 8,2
Aberfeldy School,European,Year 8,1
Addington Te Kura Taumatua,Māori,Year 1,9
Addington Te Kura Taumatua,Pacific,Year 1,5
Addington Te Kura Taumatua,Asian,Year 1,21
Addington Te Kura Taumatua,MELAA,Year 1,5
Addington Te Kura Taumatua,European,Year 1,17
Addington Te Kura Taumatua,Māori,Year 2,11
Addington Te Kura Taumatua,Pacific,Year 2,5
Addington Te Kura Taumatua,Asian,Year 2,14
Addington Te Kura Taumatua,MELAA,Year 2,2
Addington Te Kura Taumatua,Other,Year 2,1
Addington Te Kura Taumatua,European,Year 2,24
Addington Te Kura Taumatua,Māori,Year 3,16
Addington Te Kura Taumatua,Pacific,Year 3,3
Addington Te Kura Taumatua,Asian,Year 3,10
Addington Te Kura Taumatua,MELAA,Year 3,4
Addington Te Kura Taumatua,European,Year 3,19
Addington Te Kura Taumatua,Māori,Year 4,12
Addington Te Kura Taumatua,Pacific,Year 4,2
Addington Te Kura Taumatua,Asian,Year 4,10
Addington Te Kura Taumatua,MELAA,Year 4,2
Addington Te Kura Taumatua,European,Year 4,17
Addington Te Kura Taumatua,Māori,Year 5,14
Addington Te Kura Taumatua,Pacific,Year 5,3
Addington Te Kura Taumatua,Asian,Year 5,8
Addington Te Kura Taumatua,MELAA,Year 5,8
Addington Te Kura Taumatua,European,Year 5,11
Addington Te Kura Taumatua,Māori,Year 6,9
Addington Te Kura Taumatua,Asian,Year 6,12
Addington Te Kura Taumatua,MELAA,Year 6,8
Addington Te Kura Taumatua,European,Year 6,14
Addington Te Kura Taumatua,Māori,Year 7,1
Addington Te Kura Taumatua,Asian,Year 7,2
Addington Te Kura Taumatua,MELAA,Year 7,3
Addington Te Kura Taumatua,European,Year 7,3
Addington Te Kura Taumatua,Māori,Year 8,2
Adventure School,Māori,Year 1,3
Adventure School,Pacific,Year 1,4
Adventure School,Asian,Year 1,12
Adventure School,MELAA,Year 1,1
Adventure School,European,Year 1,30
Adventure School,Māori,Year 2,13
Adventure School,Pacific,Year 2,1
Adventure School,Asian,Year 2,16
Adventure School,MELAA,Year 2,3
Adventure School,European,Year 2,25
Adventure School,Māori,Year 3,9
Adventure School,Pacific,Year 3,4
Adventure School,Asian,Year 3,13
Adventure School,European,Year 3,42
Adventure School,Māori,Year 4,6
Adventure School,Pacific,Year 4,1
Adventure School,Asian,Year 4,17
Adventure School,MELAA,Year 4,2
Adventure School,European,Year 4,45
Adventure School,Māori,Year 5,1
Adventure School,Pacific,Year 5,3
Adventure School,Asian,Year 5,11
Adventure School,MELAA,Year 5,2
Adventure School,European,Year 5,37
Adventure School,Māori,Year 6,10
Adventure School,Pacific,Year 6,1
Adventure School,Asian,Year 6,5
Adventure School,MELAA,Year 6,1
Adventure School,European,Year 6,58
Adventure School,Māori,Year 7,6
Adventure School,Pacific,Year 7,4
Adventure School,Asian,Year 7,5
Adventure School,MELAA,Year 7,1
Adventure School,European,Year 7,51
Adventure School,Māori,Year 8,7
Adventure School,Pacific,Year 8,7
Adventure School,Asian,Year 8,6
Adventure School,European,Year 8,39
Ahipara School,Māori,Year 1,24
Ahipara School,European,Year 1,3
Ahipara School,Māori,Year 2,20
Ahipara School,European,Year 2,6
Ahipara School,Māori,Year 3,23
Ahipara School,Asian,Year 3,1
Ahipara School,European,Year 3,2
Ahipara School,Māori,Year 4,27
Ahipara School,European,Year 4,2
Ahipara School,Māori,Year 5,20
Ahipara School,European,Year 5,2
Ahipara School,Māori,Year 6,18
Ahipara School,Asian,Year 6,1
Ahipara School,Other,Year 6,1
Ahipara School,European,Year 6,5
Ahipara School,Māori,Year 7,15
Ahipara School,Pacific,Year 7,1
Ahipara School,Asian,Year 7,1
Ahipara School,European,Year 7,3
Ahipara School,Māori,Year 8,18
Ahipara School,European,Year 8,6
Ahititi School,European,Year 1,1
Ahititi School,Māori,Year 2,1
Ahititi School,Māori,Year 3,2
Ahititi School,European,Year 3,1
Ahititi School,Māori,Year 4,2
Ahititi School,European,Year 4,1
Ahititi School,Māori,Year 5,1
Ahititi School,Māori,Year 6,1
Ahititi School,Māori,Year 7,1
Ahititi School,European,Year 7,1
Ahititi School,European,Year 8,1
Ahuroa School,Māori,Year 1,4
Ahuroa School,Asian,Year 1,1
Ahuroa School,European,Year 1,4
Ahuroa School,Māori,Year 2,4
Ahuroa School,European,Year 2,7
Ahuroa School,Māori,Year 3,1
Ahuroa School,European,Year 3,5
Ahuroa School,Māori,Year 4,7
Ahuroa School,European,Year 4,4
Ahuroa School,Māori,Year 5,3
Ahuroa School,MELAA,Year 5,1
Ahuroa School,Other,Year 5,1
Ahuroa School,European,Year 5,6
Ahuroa School,Māori,Year 6,1
Ahuroa School,European,Year 6,6
Ahuroa School,Māori,Year 7,1
Ahuroa School,European,Year 7,7
Ahuroa School,MELAA,Year 8,1
Ahutoetoe School,Māori,Year 1,1
Ahutoetoe School,Asian,Year 1,15
Ahutoetoe School,MELAA,Year 1,3
Ahutoetoe School,European,Year 1,10
Ahutoetoe School,Asian,Year 2,7
Ahutoetoe School,MELAA,Year 2,1
Ahutoetoe School,Other,Year 2,2
Ahutoetoe School,European,Year 2,7
Ahutoetoe School,Māori,Year 3,1
Ahutoetoe School,Pacific,Year 3,1
Ahutoetoe School,Asian,Year 3,8
Ahutoetoe School,Other,Year 3,1
Ahutoetoe School,European,Year 3,10
Ahutoetoe School,Asian,Year 4,3
Ahutoetoe School,MELAA,Year 4,1
Ahutoetoe School,Other,Year 4,3
Ahutoetoe School,European,Year 4,6
Ahutoetoe School,Asian,Year 5,3
Ahutoetoe School,MELAA,Year 5,1
Ahutoetoe School,European,Year 5,5
Ahutoetoe School,Māori,Year 6,1
Ahutoetoe School,MELAA,Year 6,2
Ahutoetoe School,European,Year 6,4
Ahutoetoe School,European,Year 7,1
Aidanfield Christian School,Māori,Year 1,3
Aidanfield Christian School,Pacific,Year 1,2
Aidanfield Christian School,Asian,Year 1,16
Aidanfield Christian School,MELAA,Year 1,1
Aidanfield Christian School,European,Year 1,19
Aidanfield Christian School,International fee paying,Year 1,2
Aidanfield Christian School,Māori,Year 10,1
Aidanfield Christian School,Pacific,Year 10,3
Aidanfield Christian School,Asian,Year 10,14
Aidanfield Christian School,MELAA,Year 10,2
Aidanfield Christian School,European,Year 10,16
Aidanfield Christian School,Māori,Year 2,3
Aidanfield Christian School,Pacific,Year 2,2
Aidanfield Christian School,Asian,Year 2,15
Aidanfield Christian School,MELAA,Year 2,4
Aidanfield Christian School,Other,Year 2,1
Aidanfield Christian School,European,Year 2,19
Aidanfield Christian School,International fee paying,Year 2,2
Aidanfield Christian School,Māori,Year 3,1
Aidanfield Christian School,Pacific,Year 3,1
Aidanfield Christian School,Asian,Year 3,15
Aidanfield Christian School,MELAA,Year 3,1
Aidanfield Christian School,European,Year 3,16
Aidanfield Christian School,International fee paying,Year 3,2
Aidanfield Christian School,Māori,Year 4,3
Aidanfield Christian School,Asian,Year 4,23
Aidanfield Christian School,MELAA,Year 4,4
Aidanfield Christian School,Other,Year 4,1
Aidanfield Christian School,European,Year 4,16
Aidanfield Christian School,International fee paying,Year 4,2
Aidanfield Christian School,Māori,Year 5,2
Aidanfield Christian School,Pacific,Year 5,2
Aidanfield Christian School,Asian,Year 5,16
Aidanfield Christian School,MELAA,Year 5,2
Aidanfield Christian School,European,Year 5,10
Aidanfield Christian School,International fee paying,Year 5,2
Aidanfield Christian School,Māori,Year 6,3
Aidanfield Christian School,Pacific,Year 6,1
Aidanfield Christian School,Asian,Year 6,21
Aidanfield Christian School,MELAA,Year 6,4
Aidanfield Christian School,European,Year 6,18
Aidanfield Christian School,Māori,Year 7,2
Aidanfield Christian School,Pacific,Year 7,1
Aidanfield Christian School,Asian,Year 7,20
Aidanfield Christian School,MELAA,Year 7,2
Aidanfield Christian School,Other,Year 7,2
Aidanfield Christian School,European,Year 7,21
Aidanfield Christian School,International fee paying,Year 7,3
Aidanfield Christian School,Māori,Year 8,2
Aidanfield Christian School,Pacific,Year 8,2
Aidanfield Christian School,Asian,Year 8,14
Aidanfield Christian School,MELAA,Year 8,1
Aidanfield Christian School,European,Year 8,17
Aidanfield Christian School,International fee paying,Year 8,1
Aidanfield Christian School,Māori,Year 9,1
Aidanfield Christian School,Pacific,Year 9,2
Aidanfield Christian School,Asian,Year 9,13
Aidanfield Christian School,MELAA,Year 9,3
Aidanfield Christian School,Other,Year 9,1
Aidanfield Christian School,European,Year 9,12
Aidanfield Christian School,International fee paying,Year 9,1
Aka Aka School,Māori,Year 1,6
Aka Aka School,European,Year 1,4
Aka Aka School,Māori,Year 2,6
Aka Aka School,European,Year 2,4
Aka Aka School,Māori,Year 3,3
Aka Aka School,Pacific,Year 3,1
Aka Aka School,European,Year 3,5
Aka Aka School,Māori,Year 4,2
Aka Aka School,European,Year 4,6
Aka Aka School,Māori,Year 5,5
Aka Aka School,Pacific,Year 5,1
Aka Aka School,European,Year 5,2
Aka Aka School,Māori,Year 6,1
Aka Aka School,Pacific,Year 6,1
Aka Aka School,European,Year 6,4
Aka Aka School,Māori,Year 7,4
Aka Aka School,Pacific,Year 7,1
Aka Aka School,European,Year 7,6
Aka Aka School,Māori,Year 8,2
Aka Aka School,Pacific,Year 8,1
Aka Aka School,Asian,Year 8,1
Aka Aka School,European,Year 8,3
Akaroa Area School,Māori,Year 1,1
Akaroa Area School,Pacific,Year 1,1
Akaroa Area School,European,Year 1,3
Akaroa Area School,Māori,Year 10,2
Akaroa Area School,Asian,Year 10,2
Akaroa Area School,European,Year 10,10
Akaroa Area School,Māori,Year 11,2
Akaroa Area School,European,Year 11,8
Akaroa Area School,Māori,Year 12,4
Akaroa Area School,Asian,Year 12,1
Akaroa Area School,European,Year 12,6
Akaroa Area School,International fee paying,Year 12,1
Akaroa Area School,Pacific,Year 13,1
Akaroa Area School,European,Year 13,5
Akaroa Area School,International fee paying,Year 14,1
Akaroa Area School,Pacific,Year 2,1
Akaroa Area School,European,Year 2,2
Akaroa Area School,Asian,Year 3,1
Akaroa Area School,European,Year 3,5
Akaroa Area School,Māori,Year 4,2
Akaroa Area School,European,Year 4,5
Akaroa Area School,Asian,Year 5,1
Akaroa Area School,European,Year 5,4
Akaroa Area School,Pacific,Year 6,1
Akaroa Area School,European,Year 6,3
Akaroa Area School,Māori,Year 7,3
Akaroa Area School,MELAA,Year 7,1
Akaroa Area School,European,Year 7,11
Akaroa Area School,Māori,Year 8,3
Akaroa Area School,Pacific,Year 8,1
Akaroa Area School,Asian,Year 8,2
Akaroa Area School,European,Year 8,10
Akaroa Area School,Māori,Year 9,9
Akaroa Area School,Asian,Year 9,1
Akaroa Area School,European,Year 9,10
Al-Madinah School,Pacific,Year 1,3
Al-Madinah School,Asian,Year 1,31
Al-Madinah School,Asian,Year 10,37
Al-Madinah School,MELAA,Year 10,1
Al-Madinah School,Asian,Year 11,26
Al-Madinah School,MELAA,Year 11,2
Al-Madinah School,Asian,Year 12,27
Al-Madinah School,MELAA,Year 12,1
Al-Madinah School,Asian,Year 13,25
Al-Madinah School,MELAA,Year 13,1
Al-Madinah School,Other,Year 13,1
Al-Madinah School,Pacific,Year 2,1
Al-Madinah School,Asian,Year 2,53
Al-Madinah School,MELAA,Year 2,2
Al-Madinah School,Other,Year 2,2
Al-Madinah School,Asian,Year 3,40
Al-Madinah School,Other,Year 3,1
Al-Madinah School,Pacific,Year 4,2
Al-Madinah School,Asian,Year 4,63
Al-Madinah School,Other,Year 4,1
Al-Madinah School,Pacific,Year 5,1
Al-Madinah School,Asian,Year 5,43
Al-Madinah School,MELAA,Year 5,2
Al-Madinah School,Other,Year 5,2
Al-Madinah School,Pacific,Year 6,2
Al-Madinah School,Asian,Year 6,47
Al-Madinah School,MELAA,Year 6,1
Al-Madinah School,Other,Year 6,1
Al-Madinah School,Pacific,Year 7,1
Al-Madinah School,Asian,Year 7,51
Al-Madinah School,MELAA,Year 7,2
Al-Madinah School,Asian,Year 8,41
Al-Madinah School,MELAA,Year 8,5
Al-Madinah School,Pacific,Year 9,2
Al-Madinah School,Asian,Year 9,28
Al-Madinah School,MELAA,Year 9,4
Albany Junior High School,Māori,Year 10,23
Albany Junior High School,Pacific,Year 10,3
Albany Junior High School,Asian,Year 10,59
Albany Junior High School,MELAA,Year 10,11
Albany Junior High School,Other,Year 10,5
Albany Junior High School,European,Year 10,100
Albany Junior High School,International fee paying,Year 10,6
Albany Junior High School,Māori,Year 7,31
Albany Junior High School,Pacific,Year 7,9
Albany Junior High School,Asian,Year 7,101
Albany Junior High School,MELAA,Year 7,17
Albany Junior High School,Other,Year 7,5
Albany Junior High School,European,Year 7,153
Albany Junior High School,International fee paying,Year 7,6
Albany Junior High School,Māori,Year 8,30
Albany Junior High School,Pacific,Year 8,8
Albany Junior High School,Asian,Year 8,129
Albany Junior High School,MELAA,Year 8,20
Albany Junior High School,Other,Year 8,5
Albany Junior High School,European,Year 8,189
Albany Junior High School,International fee paying,Year 8,4
Albany Junior High School,Māori,Year 9,20
Albany Junior High School,Pacific,Year 9,9
Albany Junior High School,Asian,Year 9,54
Albany Junior High School,MELAA,Year 9,4
Albany Junior High School,Other,Year 9,2
Albany Junior High School,European,Year 9,127
Albany Junior High School,International fee paying,Year 9,16
Albany School,Māori,Year 1,6
Albany School,Pacific,Year 1,2
Albany School,Asian,Year 1,64
Albany School,MELAA,Year 1,13
Albany School,European,Year 1,11
