school,long,lat,x,y
Te Kura O Otangarei,174.320624,-35.695145,1719484.5134859409,6049060.029756259
Oturu School,173.285688,-35.09327,1626039.9234955064,6116576.244178963
Paihia School,174.090494,-35.283576,1699166.8678433017,6094963.552094828
Pakaraka School,173.957843,-35.35626,1687025.5864232075,6087026.938333416
Pakiri School,174.727024,-36.264923,1755137.419136363,5985283.7900684755
Pakotai School,173.900725,-35.688408,1681499.4267648386,6050237.020229774
Pamapuria School,173.351826,-35.132798,1632052.8181744476,6112173.3476799065
Paparoa School,174.233448,-36.099534,1711030.5196199566,6004307.465197093
Paparore School,173.202855,-35.027928,1618504.5760254872,6123841.017289198
Parua Bay School,174.479467,-35.769841,1733731.9637090284,6040569.680998111
Peria School,173.487626,-35.098683,1644443.3751762572,6115904.532938297
Pompallier Catholic School,173.26084,-35.114878,1623768.7959477317,6114186.159610489
Poroti School,174.139016,-35.739143,1702995.9889044852,6044385.752078038
Portland School Te Kura o Tikorangi,174.326546,-35.798856,1719864.7176487716,6037549.23848776
Pouto School,174.101868,-36.28565,1698951.2145411347,5983804.894761723
Pukenui School (Kaitaia),173.116469,-34.817188,1610651.5746953248,6147223.60448958
Pukepoto School,173.213725,-35.159075,1619464.9563584174,6109294.9853451755
Purua School,174.108323,-35.632312,1700354.1731143016,6056266.763332039
Raurimu Avenue School,174.362661,-35.763896,1723182.142210327,6041382.2148716375
Rawene School,173.506254,-35.403696,1645968.6799022497,6082069.434050531
Ruakākā School,174.440861,-35.89824,1730032.3248246384,6026379.319621624
Ruawai Primary School,174.011042,-36.121583,1690984.1886605446,6002092.825257914
Russell School (Bay Of Islands),174.123766,-35.262172,1702219.5612661869,6097303.658202568
Selwyn Park School,173.87598499999999,-35.932934,1679018.205297312,6023135.610674396
St Joseph's Catholic School (Dargaville),173.862788,-35.935344,1677825.379314081,6022878.901144655
Te Kura o Hato Hohepa Te Kamura,173.712928,-35.070013,1665000.9729146531,6118960.348221362
Tangiteroria School,174.048431,-35.821654,1694706.5727139001,6035325.267555975
Tangowahine School,173.934923,-35.865281,1684406.6527287583,6030590.195638489
Tapora School,174.302849,-36.351256,1716902.7789462642,5976303.080387434
Tauhoa School,174.452893,-36.378084,1730322.0781052285,5973135.036658589
Te Hapua School,172.909436,-34.517654,1591687.6826378296,6180441.425855236
Te Horo School (Whangarei),174.017985,-35.620325,1692187.9017023088,6057684.719403718
Te Kopuru School,173.922792,-36.029759,1683138.9081430214,6012357.002691422
Te Takarangi,173.996339,-35.138784,1690765.3639964932,6111111.896093367
Tikipunga Primary School,174.324242,-35.685964,1719825.6073966774,6050073.96255932
Tinopai School,174.245318,-36.247162,1711888.9543442097,5987918.08299643
Tomarata School,174.633729,-36.231302,1746818.9825007033,5989158.908065232
Totara North School,173.712486,-35.038968,1664985.2642504333,6122403.531084467
Umawera School,173.574373,-35.285067,1652230.3590450278,6095192.115809388
Waihārara School,173.185822,-34.934849,1616970.0043931813,6134166.136534728
Waima School,173.58652,-35.48925,1653200.7086561122,6072540.688294139
Waiotira School,174.198942,-35.938725,1708143.7995120857,6022183.660296882
Waipu School,174.443368,-35.987835,1730111.5990672808,6016437.689940338
Wellsford School,174.515608,-36.284045,1736111.4185329964,5983480.55405697
Whananaki School,174.454687,-35.514436,1731911.1121439624,6068932.628987167
Whangarei Heads School,174.516025,-35.822317,1736946.6516679141,6034698.365718571
Whangarei Intermediate,174.316797,-35.722292,1719097.8446295133,6046053.572194706
Whangarei School,174.3218,-35.717559,1719557.4392577491,6046572.4666372575
Whau Valley School,174.314857,-35.700434,1718954.8529632683,6048480.385639885
Renew School,174.316496,-35.730346,1719058.6312884588,6045160.596318611
Lake Taupo Christian School,176.101668,-38.697054,1869749.4324728122,5712273.468648202
TKKM o Takapau,176.349137,-40.025569,1885803.093380823,5564029.397183357
