Year,DHB,Month,Count
1998,Bay of Plenty,February,26
1998,Bay of Plenty,March,20
1998,Bay of Plenty,April,22
1998,Bay of Plenty,May,34
1998,Bay of Plenty,June,22
1998,Bay of Plenty,July,28
1998,Bay of Plenty,August,20
1998,Bay of Plenty,September,35
1998,Bay of Plenty,October,30
1998,Bay of Plenty,November,40
1998,Bay of Plenty,December,30
1999,Bay of Plenty,January,30
1999,Bay of Plenty,February,24
1999,Bay of Plenty,March,18
1999,Bay of Plenty,April,15
1999,Bay of Plenty,May,13
1999,Bay of Plenty,June,8
1999,Bay of Plenty,July,17
1999,Bay of Plenty,August,26
1999,Bay of Plenty,September,15
1999,Bay of Plenty,October,11
1999,Bay of Plenty,November,16
1999,Bay of Plenty,December,19
2000,Bay of Plenty,January,21
2000,Bay of Plenty,February,16
2000,Bay of Plenty,March,30
2000,Bay of Plenty,April,12
2000,Bay of Plenty,May,20
2000,Bay of Plenty,June,20
2000,Bay of Plenty,July,11
2000,Bay of Plenty,August,5
2000,Bay of Plenty,September,18
2000,Bay of Plenty,October,32
2000,Bay of Plenty,November,18
2000,Bay of Plenty,December,23
2001,Bay of Plenty,January,39
2001,Bay of Plenty,February,29
2001,Bay of Plenty,March,14
2001,Bay of Plenty,April,18
2001,Bay of Plenty,May,30
2001,Bay of Plenty,June,19
2001,Bay of Plenty,July,33
2001,Bay of Plenty,August,30
2001,Bay of Plenty,September,41
2001,Bay of Plenty,October,52
2001,Bay of Plenty,November,46
2001,Bay of Plenty,December,52
2002,Bay of Plenty,January,68
2002,Bay of Plenty,February,36
2002,Bay of Plenty,March,27
2002,Bay of Plenty,April,13
2002,Bay of Plenty,May,23
2002,Bay of Plenty,June,27
2002,Bay of Plenty,July,31
2002,Bay of Plenty,August,36
2002,Bay of Plenty,September,31
2002,Bay of Plenty,October,31
2002,Bay of Plenty,November,28
2002,Bay of Plenty,December,31
2003,Bay of Plenty,January,102
2003,Bay of Plenty,February,42
2003,Bay of Plenty,March,36
2003,Bay of Plenty,April,31
2003,Bay of Plenty,May,21
2003,Bay of Plenty,June,18
2003,Bay of Plenty,July,36
2003,Bay of Plenty,August,64
2003,Bay of Plenty,September,41
2003,Bay of Plenty,October,58
2003,Bay of Plenty,November,65
2003,Bay of Plenty,December,55
2004,Bay of Plenty,January,59
2004,Bay of Plenty,February,56
2004,Bay of Plenty,March,60
2004,Bay of Plenty,April,16
2004,Bay of Plenty,May,23
2004,Bay of Plenty,June,22
2004,Bay of Plenty,July,30
2004,Bay of Plenty,August,39
2004,Bay of Plenty,September,35
2004,Bay of Plenty,October,38
2004,Bay of Plenty,November,27
2004,Bay of Plenty,December,42
2005,Bay of Plenty,January,53
2005,Bay of Plenty,February,31
2005,Bay of Plenty,March,27
2005,Bay of Plenty,April,31
2005,Bay of Plenty,May,28
2005,Bay of Plenty,June,21
2005,Bay of Plenty,July,33
2005,Bay of Plenty,August,62
2005,Bay of Plenty,September,48
2005,Bay of Plenty,October,50
2005,Bay of Plenty,November,62
2005,Bay of Plenty,December,62
2006,Bay of Plenty,January,61
2006,Bay of Plenty,February,62
2006,Bay of Plenty,March,40
2006,Bay of Plenty,April,35
2006,Bay of Plenty,May,64
2006,Bay of Plenty,June,46
2006,Bay of Plenty,July,35
2006,Bay of Plenty,August,67
2006,Bay of Plenty,September,48
2006,Bay of Plenty,October,67
2006,Bay of Plenty,November,55
2006,Bay of Plenty,December,70
2007,Bay of Plenty,January,97
2007,Bay of Plenty,February,57
2007,Bay of Plenty,March,49
2007,Bay of Plenty,April,21
2007,Bay of Plenty,May,33
2007,Bay of Plenty,June,28
2007,Bay of Plenty,July,34
2007,Bay of Plenty,August,23
2007,Bay of Plenty,September,35
2007,Bay of Plenty,October,48
2007,Bay of Plenty,November,37
2007,Bay of Plenty,December,36
2008,Bay of Plenty,January,35
2008,Bay of Plenty,February,23
2008,Bay of Plenty,March,16
2008,Bay of Plenty,April,12
2008,Bay of Plenty,May,12
2008,Bay of Plenty,June,13
2008,Bay of Plenty,July,16
2008,Bay of Plenty,August,30
2008,Bay of Plenty,September,21
2008,Bay of Plenty,October,15
2008,Bay of Plenty,November,30
2008,Bay of Plenty,December,34
2009,Bay of Plenty,January,35
2009,Bay of Plenty,February,30
2009,Bay of Plenty,March,33
2009,Bay of Plenty,April,11
2009,Bay of Plenty,May,17
2009,Bay of Plenty,June,10
2009,Bay of Plenty,July,18
2009,Bay of Plenty,August,13
2009,Bay of Plenty,September,33
2009,Bay of Plenty,October,42
2009,Bay of Plenty,November,49
2009,Bay of Plenty,December,26
2010,Bay of Plenty,January,50
2010,Bay of Plenty,February,30
2010,Bay of Plenty,March,22
2010,Bay of Plenty,April,18
2010,Bay of Plenty,May,20
2010,Bay of Plenty,June,23
2010,Bay of Plenty,July,16
2010,Bay of Plenty,August,16
2010,Bay of Plenty,September,30
2010,Bay of Plenty,October,27
2010,Bay of Plenty,November,38
2010,Bay of Plenty,December,32
2011,Bay of Plenty,January,26
2011,Bay of Plenty,February,18
2011,Bay of Plenty,March,27
2011,Bay of Plenty,April,18
2011,Bay of Plenty,May,18
2011,Bay of Plenty,June,19
2011,Bay of Plenty,July,14
2011,Bay of Plenty,August,24
2011,Bay of Plenty,September,24
2011,Bay of Plenty,October,31
2011,Bay of Plenty,November,35
2011,Bay of Plenty,December,38
2012,Bay of Plenty,January,35
2012,Bay of Plenty,February,19
2012,Bay of Plenty,March,25
2012,Bay of Plenty,April,14
2012,Bay of Plenty,May,18
2012,Bay of Plenty,June,8
2012,Bay of Plenty,July,12
2012,Bay of Plenty,August,13
2012,Bay of Plenty,September,32
2012,Bay of Plenty,October,33
2012,Bay of Plenty,November,22
2012,Bay of Plenty,December,36
2013,Bay of Plenty,January,23
2013,Bay of Plenty,February,17
2013,Bay of Plenty,March,10
2013,Bay of Plenty,April,8
2013,Bay of Plenty,May,13
2013,Bay of Plenty,June,14
2013,Bay of Plenty,July,23
2013,Bay of Plenty,August,30
2013,Bay of Plenty,September,43
2013,Bay of Plenty,October,30
2013,Bay of Plenty,November,24
2013,Bay of Plenty,December,27
2014,Bay of Plenty,January,35
2014,Bay of Plenty,February,30
2014,Bay of Plenty,March,22
2014,Bay of Plenty,April,19
2014,Bay of Plenty,May,16
2014,Bay of Plenty,June,17
2014,Bay of Plenty,July,15
2014,Bay of Plenty,August,18
2014,Bay of Plenty,September,32
2014,Bay of Plenty,October,49
2014,Bay of Plenty,November,39
2014,Bay of Plenty,December,35
1997,Tairawhiti,January,8
1997,Tairawhiti,February,4
1997,Tairawhiti,March,0
1997,Tairawhiti,April,6
1997,Tairawhiti,May,3
1997,Tairawhiti,June,6
1997,Tairawhiti,July,2
1997,Tairawhiti,August,7
1997,Tairawhiti,September,5
1997,Tairawhiti,October,6
1997,Tairawhiti,November,8
1997,Tairawhiti,December,3
1998,Tairawhiti,January,9
1998,Tairawhiti,February,3
1998,Tairawhiti,March,9
1998,Tairawhiti,April,6
1998,Tairawhiti,May,5
1998,Tairawhiti,June,5
1998,Tairawhiti,July,6
1998,Tairawhiti,August,5
1998,Tairawhiti,September,7
1998,Tairawhiti,October,5
1998,Tairawhiti,November,9
1998,Tairawhiti,December,12
1999,Tairawhiti,January,6
1999,Tairawhiti,February,4
1999,Tairawhiti,March,2
1999,Tairawhiti,April,0
1999,Tairawhiti,May,2
1999,Tairawhiti,June,5
1999,Tairawhiti,July,6
1999,Tairawhiti,August,7
1999,Tairawhiti,September,5
1999,Tairawhiti,October,5
1999,Tairawhiti,November,6
1999,Tairawhiti,December,10
2000,Tairawhiti,January,12
2000,Tairawhiti,February,8
2000,Tairawhiti,March,4
2000,Tairawhiti,April,4
2000,Tairawhiti,May,4
2000,Tairawhiti,June,1
2000,Tairawhiti,July,2
2000,Tairawhiti,August,6
2000,Tairawhiti,September,6
2000,Tairawhiti,October,7
2000,Tairawhiti,November,7
2000,Tairawhiti,December,10
2001,Tairawhiti,January,9
2001,Tairawhiti,February,4
2001,Tairawhiti,March,4
2001,Tairawhiti,April,8
2001,Tairawhiti,May,3
2001,Tairawhiti,June,7
2001,Tairawhiti,July,3
2001,Tairawhiti,August,3
2001,Tairawhiti,September,1
2001,Tairawhiti,October,5
2001,Tairawhiti,November,18
2001,Tairawhiti,December,18
2002,Tairawhiti,January,12
2002,Tairawhiti,February,8
2002,Tairawhiti,March,2
2002,Tairawhiti,April,6
2002,Tairawhiti,May,4
2002,Tairawhiti,June,4
2002,Tairawhiti,July,6
2002,Tairawhiti,August,10
2002,Tairawhiti,September,10
2002,Tairawhiti,October,9
2002,Tairawhiti,November,6
2002,Tairawhiti,December,12
2003,Tairawhiti,January,22
2003,Tairawhiti,February,13
2003,Tairawhiti,March,8
2003,Tairawhiti,April,6
2003,Tairawhiti,May,8
2003,Tairawhiti,June,3
2003,Tairawhiti,July,16
2003,Tairawhiti,August,10
2003,Tairawhiti,September,14
2003,Tairawhiti,October,13
2003,Tairawhiti,November,15
2003,Tairawhiti,December,20
2004,Tairawhiti,January,10
2004,Tairawhiti,February,8
2004,Tairawhiti,March,12
2004,Tairawhiti,April,3
2004,Tairawhiti,May,5
2004,Tairawhiti,June,6
2004,Tairawhiti,July,6
2004,Tairawhiti,August,7
2004,Tairawhiti,September,9
2004,Tairawhiti,October,12
2004,Tairawhiti,November,2
2004,Tairawhiti,December,6
2005,Tairawhiti,January,15
2005,Tairawhiti,February,17
2005,Tairawhiti,March,3
2005,Tairawhiti,April,10
2005,Tairawhiti,May,6
2005,Tairawhiti,June,4
2005,Tairawhiti,July,4
2005,Tairawhiti,August,20
2005,Tairawhiti,September,5
2005,Tairawhiti,October,6
2005,Tairawhiti,November,9
2005,Tairawhiti,December,26
2006,Tairawhiti,January,4
2006,Tairawhiti,February,1
2006,Tairawhiti,March,4
2006,Tairawhiti,April,2
2006,Tairawhiti,May,6
2006,Tairawhiti,June,8
2006,Tairawhiti,July,9
2006,Tairawhiti,August,1
2006,Tairawhiti,September,2
2006,Tairawhiti,October,4
2006,Tairawhiti,November,10
2006,Tairawhiti,December,7
2007,Tairawhiti,January,12
2007,Tairawhiti,February,8
2007,Tairawhiti,March,5
2007,Tairawhiti,April,5
2007,Tairawhiti,May,3
2007,Tairawhiti,June,0
2007,Tairawhiti,July,0
2007,Tairawhiti,August,0
2007,Tairawhiti,September,1
2007,Tairawhiti,October,2
2007,Tairawhiti,November,8
2007,Tairawhiti,December,5
2008,Tairawhiti,January,3
2008,Tairawhiti,February,3
2008,Tairawhiti,March,3
2008,Tairawhiti,April,3
2008,Tairawhiti,May,7
2008,Tairawhiti,June,4
2008,Tairawhiti,July,5
2008,Tairawhiti,August,5
2008,Tairawhiti,September,0
2008,Tairawhiti,October,4
2008,Tairawhiti,November,3
2008,Tairawhiti,December,1
2009,Tairawhiti,January,6
2009,Tairawhiti,February,1
2009,Tairawhiti,March,1
2009,Tairawhiti,April,0
2009,Tairawhiti,May,0
2009,Tairawhiti,June,2
2009,Tairawhiti,July,0
2009,Tairawhiti,August,3
2009,Tairawhiti,September,5
2009,Tairawhiti,October,2
2009,Tairawhiti,November,8
2009,Tairawhiti,December,8
2010,Tairawhiti,January,4
2010,Tairawhiti,February,5
2010,Tairawhiti,March,5
2010,Tairawhiti,April,1
2010,Tairawhiti,May,2
2010,Tairawhiti,June,5
2010,Tairawhiti,July,5
2010,Tairawhiti,August,2
2010,Tairawhiti,September,3
2010,Tairawhiti,October,2
2010,Tairawhiti,November,2
2010,Tairawhiti,December,1
2011,Tairawhiti,January,4
2011,Tairawhiti,February,3
2011,Tairawhiti,March,1
2011,Tairawhiti,April,2
2011,Tairawhiti,May,7
2011,Tairawhiti,June,4
2011,Tairawhiti,July,6
2011,Tairawhiti,August,5
2011,Tairawhiti,September,7
2011,Tairawhiti,October,1
2011,Tairawhiti,November,7
2011,Tairawhiti,December,9
2012,Tairawhiti,January,13
2012,Tairawhiti,February,7
2012,Tairawhiti,March,4
2012,Tairawhiti,April,2
2012,Tairawhiti,May,0
2012,Tairawhiti,June,0
2012,Tairawhiti,July,0
2012,Tairawhiti,August,3
2012,Tairawhiti,September,6
2012,Tairawhiti,October,7
2012,Tairawhiti,November,7
2012,Tairawhiti,December,5
2013,Tairawhiti,January,7
2013,Tairawhiti,February,4
2013,Tairawhiti,March,3
2013,Tairawhiti,April,4
2013,Tairawhiti,May,1
2013,Tairawhiti,June,8
2013,Tairawhiti,July,8
2013,Tairawhiti,August,11
2013,Tairawhiti,September,8
2013,Tairawhiti,October,7
2013,Tairawhiti,November,6
2013,Tairawhiti,December,15
2014,Tairawhiti,January,9
2014,Tairawhiti,February,4
2014,Tairawhiti,March,4
2014,Tairawhiti,April,3
2014,Tairawhiti,May,4
2014,Tairawhiti,June,6
2014,Tairawhiti,July,8
2014,Tairawhiti,August,3
2014,Tairawhiti,September,4
2014,Tairawhiti,October,7
2014,Tairawhiti,November,8
2014,Tairawhiti,December,13
1997,Taranaki,January,21
1997,Taranaki,February,16
1997,Taranaki,March,10
1997,Taranaki,April,8
1997,Taranaki,May,4
1997,Taranaki,June,6
1997,Taranaki,July,14
1997,Taranaki,August,10
1997,Taranaki,September,27
1997,Taranaki,October,31
1997,Taranaki,November,20
1997,Taranaki,December,22
1998,Taranaki,January,27
1998,Taranaki,February,16
1998,Taranaki,March,15
1998,Taranaki,April,13
1998,Taranaki,May,20
1998,Taranaki,June,13
1998,Taranaki,July,20
1998,Taranaki,August,17
1998,Taranaki,September,22
1998,Taranaki,October,24
1998,Taranaki,November,23
1998,Taranaki,December,10
1999,Taranaki,January,17
1999,Taranaki,February,14
1999,Taranaki,March,7
1999,Taranaki,April,9
1999,Taranaki,May,7
1999,Taranaki,June,7
1999,Taranaki,July,9
1999,Taranaki,August,23
1999,Taranaki,September,18
1999,Taranaki,October,22
1999,Taranaki,November,18
1999,Taranaki,December,16
2000,Taranaki,January,28
2000,Taranaki,February,12
2000,Taranaki,March,20
2000,Taranaki,April,8
2000,Taranaki,May,8
2000,Taranaki,June,11
2000,Taranaki,July,5
2000,Taranaki,August,17
2000,Taranaki,September,26
2000,Taranaki,October,28
2000,Taranaki,November,20
2000,Taranaki,December,22
2001,Taranaki,January,20
2001,Taranaki,February,14
2001,Taranaki,March,20
2001,Taranaki,April,8
2001,Taranaki,May,15
2001,Taranaki,June,10
2001,Taranaki,July,15
2001,Taranaki,August,34
2001,Taranaki,September,31
2001,Taranaki,October,34
2001,Taranaki,November,49
2001,Taranaki,December,41
2002,Taranaki,January,40
2002,Taranaki,February,34
2002,Taranaki,March,19
2002,Taranaki,April,13
2002,Taranaki,May,13
2002,Taranaki,June,12
2002,Taranaki,July,15
2002,Taranaki,August,30
2002,Taranaki,September,43
2002,Taranaki,October,29
2002,Taranaki,November,29
2002,Taranaki,December,31
2003,Taranaki,January,49
2003,Taranaki,February,27
2003,Taranaki,March,25
2003,Taranaki,April,13
2003,Taranaki,May,16
2003,Taranaki,June,10
2003,Taranaki,July,25
2003,Taranaki,August,44
2003,Taranaki,September,46
2003,Taranaki,October,52
2003,Taranaki,November,50
2003,Taranaki,December,56
2004,Taranaki,January,54
2004,Taranaki,February,32
2004,Taranaki,March,24
2004,Taranaki,April,15
2004,Taranaki,May,16
2004,Taranaki,June,14
2004,Taranaki,July,24
2004,Taranaki,August,28
2004,Taranaki,September,27
2004,Taranaki,October,15
2004,Taranaki,November,26
2004,Taranaki,December,39
2005,Taranaki,January,28
2005,Taranaki,February,26
2005,Taranaki,March,26
2005,Taranaki,April,8
2005,Taranaki,May,8
2005,Taranaki,June,9
2005,Taranaki,July,31
2005,Taranaki,August,59
2005,Taranaki,September,55
2005,Taranaki,October,48
2005,Taranaki,November,46
2005,Taranaki,December,78
2006,Taranaki,January,49
2006,Taranaki,February,34
2006,Taranaki,March,29
2006,Taranaki,April,29
2006,Taranaki,May,39
2006,Taranaki,June,26
2006,Taranaki,July,26
2006,Taranaki,August,48
2006,Taranaki,September,61
2006,Taranaki,October,36
2006,Taranaki,November,51
2006,Taranaki,December,44
2007,Taranaki,January,48
2007,Taranaki,February,42
2007,Taranaki,March,35
2007,Taranaki,April,22
2007,Taranaki,May,32
2007,Taranaki,June,39
2007,Taranaki,July,22
2007,Taranaki,August,33
2007,Taranaki,September,36
2007,Taranaki,October,42
2007,Taranaki,November,29
2007,Taranaki,December,30
2008,Taranaki,January,23
2008,Taranaki,February,7
2008,Taranaki,March,8
2008,Taranaki,April,10
2008,Taranaki,May,8
2008,Taranaki,June,10
2008,Taranaki,July,16
2008,Taranaki,August,19
2008,Taranaki,September,29
2008,Taranaki,October,28
2008,Taranaki,November,27
2008,Taranaki,December,18
2009,Taranaki,January,20
2009,Taranaki,February,30
2009,Taranaki,March,6
2009,Taranaki,April,14
2009,Taranaki,May,8
2009,Taranaki,June,6
2009,Taranaki,July,8
2009,Taranaki,August,34
2009,Taranaki,September,24
2009,Taranaki,October,25
2009,Taranaki,November,29
2009,Taranaki,December,29
2010,Taranaki,January,28
2010,Taranaki,February,39
2010,Taranaki,March,21
2010,Taranaki,April,17
2010,Taranaki,May,14
2010,Taranaki,June,12
2010,Taranaki,July,8
2010,Taranaki,August,32
2010,Taranaki,September,42
2010,Taranaki,October,23
2010,Taranaki,November,12
2010,Taranaki,December,17
2011,Taranaki,January,22
2011,Taranaki,February,10
2011,Taranaki,March,4
2011,Taranaki,April,4
2011,Taranaki,May,8
2011,Taranaki,June,13
2011,Taranaki,July,11
2011,Taranaki,August,23
2011,Taranaki,September,23
2011,Taranaki,October,21
2011,Taranaki,November,22
2011,Taranaki,December,18
2012,Taranaki,January,19
2012,Taranaki,February,17
2012,Taranaki,March,13
2012,Taranaki,April,7
2012,Taranaki,May,20
2012,Taranaki,June,8
2012,Taranaki,July,15
2012,Taranaki,August,34
2012,Taranaki,September,23
2012,Taranaki,October,23
2012,Taranaki,November,23
2012,Taranaki,December,18
2013,Taranaki,January,28
2013,Taranaki,February,15
2013,Taranaki,March,13
2013,Taranaki,April,5
2013,Taranaki,May,7
2013,Taranaki,June,10
2013,Taranaki,July,13
2013,Taranaki,August,33
2013,Taranaki,September,26
2013,Taranaki,October,28
2013,Taranaki,November,29
2013,Taranaki,December,29
2014,Taranaki,January,20
2014,Taranaki,February,11
2014,Taranaki,March,13
2014,Taranaki,April,6
2014,Taranaki,May,9
2014,Taranaki,June,7
2014,Taranaki,July,8
2014,Taranaki,August,10
2014,Taranaki,September,21
2014,Taranaki,October,24
2014,Taranaki,November,17
2014,Taranaki,December,24
1997,Hawke's Bay,January,36
1997,Hawke's Bay,February,22
1997,Hawke's Bay,March,21
1997,Hawke's Bay,April,10
1997,Hawke's Bay,May,25
1997,Hawke's Bay,June,55
1997,Hawke's Bay,July,24
1997,Hawke's Bay,August,19
1997,Hawke's Bay,September,20
1997,Hawke's Bay,October,43
1997,Hawke's Bay,November,40
1997,Hawke's Bay,December,29
1998,Hawke's Bay,January,46
1998,Hawke's Bay,February,24
1998,Hawke's Bay,March,26
1998,Hawke's Bay,April,39
1998,Hawke's Bay,May,41
1998,Hawke's Bay,June,30
1998,Hawke's Bay,July,52
1998,Hawke's Bay,August,52
1998,Hawke's Bay,September,33
1998,Hawke's Bay,October,40
1998,Hawke's Bay,November,34
1998,Hawke's Bay,December,54
1999,Hawke's Bay,January,43
1999,Hawke's Bay,February,34
1999,Hawke's Bay,March,28
1999,Hawke's Bay,April,24
1999,Hawke's Bay,May,34
1999,Hawke's Bay,June,31
1999,Hawke's Bay,July,22
1999,Hawke's Bay,August,16
1999,Hawke's Bay,September,26
1999,Hawke's Bay,October,20
1999,Hawke's Bay,November,33
1999,Hawke's Bay,December,101
2000,Hawke's Bay,January,37
2000,Hawke's Bay,February,35
2000,Hawke's Bay,March,20
2000,Hawke's Bay,April,8
2000,Hawke's Bay,May,24
2000,Hawke's Bay,June,22
2000,Hawke's Bay,July,37
2000,Hawke's Bay,August,21
2000,Hawke's Bay,September,19
2000,Hawke's Bay,October,28
2000,Hawke's Bay,November,24
2000,Hawke's Bay,December,48
2001,Hawke's Bay,January,48
2001,Hawke's Bay,February,27
2001,Hawke's Bay,March,25
2001,Hawke's Bay,April,30
2001,Hawke's Bay,May,24
2001,Hawke's Bay,June,15
2001,Hawke's Bay,July,31
2001,Hawke's Bay,August,26
2001,Hawke's Bay,September,33
2001,Hawke's Bay,October,49
2001,Hawke's Bay,November,57
2001,Hawke's Bay,December,56
2002,Hawke's Bay,January,66
2002,Hawke's Bay,February,51
2002,Hawke's Bay,March,21
2002,Hawke's Bay,April,25
2002,Hawke's Bay,May,23
2002,Hawke's Bay,June,9
2002,Hawke's Bay,July,38
2002,Hawke's Bay,August,55
2002,Hawke's Bay,September,50
2002,Hawke's Bay,October,26
2002,Hawke's Bay,November,35
2002,Hawke's Bay,December,41
2003,Hawke's Bay,January,82
2003,Hawke's Bay,February,41
2003,Hawke's Bay,March,32
2003,Hawke's Bay,April,20
2003,Hawke's Bay,May,33
2003,Hawke's Bay,June,35
2003,Hawke's Bay,July,35
2003,Hawke's Bay,August,80
2003,Hawke's Bay,September,84
2003,Hawke's Bay,October,64
2003,Hawke's Bay,November,57
2003,Hawke's Bay,December,73
2004,Hawke's Bay,January,73
2004,Hawke's Bay,February,35
2004,Hawke's Bay,March,47
2004,Hawke's Bay,April,24
2004,Hawke's Bay,May,29
2004,Hawke's Bay,June,28
2004,Hawke's Bay,July,38
2004,Hawke's Bay,August,29
2004,Hawke's Bay,September,21
2004,Hawke's Bay,October,19
2004,Hawke's Bay,November,31
2004,Hawke's Bay,December,50
2005,Hawke's Bay,January,58
2005,Hawke's Bay,February,48
2005,Hawke's Bay,March,23
2005,Hawke's Bay,April,21
2005,Hawke's Bay,May,40
2005,Hawke's Bay,June,30
2005,Hawke's Bay,July,41
2005,Hawke's Bay,August,36
2005,Hawke's Bay,September,38
2005,Hawke's Bay,October,42
2005,Hawke's Bay,November,59
2005,Hawke's Bay,December,62
2006,Hawke's Bay,January,82
2006,Hawke's Bay,February,40
2006,Hawke's Bay,March,32
2006,Hawke's Bay,April,27
2006,Hawke's Bay,May,40
2006,Hawke's Bay,June,44
2006,Hawke's Bay,July,43
2006,Hawke's Bay,August,47
2006,Hawke's Bay,September,36
2006,Hawke's Bay,October,28
2006,Hawke's Bay,November,48
2006,Hawke's Bay,December,51
2007,Hawke's Bay,January,73
2007,Hawke's Bay,February,40
2007,Hawke's Bay,March,28
2007,Hawke's Bay,April,22
2007,Hawke's Bay,May,37
2007,Hawke's Bay,June,40
2007,Hawke's Bay,July,50
2007,Hawke's Bay,August,25
2007,Hawke's Bay,September,39
2007,Hawke's Bay,October,37
2007,Hawke's Bay,November,38
2007,Hawke's Bay,December,31
2008,Hawke's Bay,January,41
2008,Hawke's Bay,February,27
2008,Hawke's Bay,March,16
2008,Hawke's Bay,April,14
2008,Hawke's Bay,May,18
2008,Hawke's Bay,June,13
2008,Hawke's Bay,July,25
2008,Hawke's Bay,August,32
2008,Hawke's Bay,September,22
2008,Hawke's Bay,October,31
2008,Hawke's Bay,November,24
2008,Hawke's Bay,December,42
2009,Hawke's Bay,January,43
2009,Hawke's Bay,February,15
2009,Hawke's Bay,March,13
2009,Hawke's Bay,April,15
2009,Hawke's Bay,May,18
2009,Hawke's Bay,June,19
2009,Hawke's Bay,July,42
2009,Hawke's Bay,August,23
2009,Hawke's Bay,September,28
2009,Hawke's Bay,October,26
2009,Hawke's Bay,November,48
2009,Hawke's Bay,December,46
2010,Hawke's Bay,January,48
2010,Hawke's Bay,February,27
2010,Hawke's Bay,March,23
2010,Hawke's Bay,April,19
2010,Hawke's Bay,May,10
2010,Hawke's Bay,June,17
2010,Hawke's Bay,July,28
2010,Hawke's Bay,August,26
2010,Hawke's Bay,September,34
2010,Hawke's Bay,October,25
2010,Hawke's Bay,November,28
2010,Hawke's Bay,December,32
2011,Hawke's Bay,January,26
2011,Hawke's Bay,February,19
2011,Hawke's Bay,March,16
2011,Hawke's Bay,April,20
2011,Hawke's Bay,May,31
2011,Hawke's Bay,June,24
2011,Hawke's Bay,July,30
2011,Hawke's Bay,August,28
2011,Hawke's Bay,September,30
2011,Hawke's Bay,October,23
2011,Hawke's Bay,November,37
2011,Hawke's Bay,December,41
2012,Hawke's Bay,January,41
2012,Hawke's Bay,February,19
2012,Hawke's Bay,March,32
2012,Hawke's Bay,April,31
2012,Hawke's Bay,May,23
2012,Hawke's Bay,June,12
2012,Hawke's Bay,July,12
2012,Hawke's Bay,August,28
2012,Hawke's Bay,September,26
2012,Hawke's Bay,October,23
2012,Hawke's Bay,November,21
2012,Hawke's Bay,December,29
2013,Hawke's Bay,January,31
2013,Hawke's Bay,February,21
2013,Hawke's Bay,March,25
2013,Hawke's Bay,April,15
2013,Hawke's Bay,May,16
2013,Hawke's Bay,June,20
2013,Hawke's Bay,July,23
2013,Hawke's Bay,August,36
2013,Hawke's Bay,September,20
2013,Hawke's Bay,October,31
2013,Hawke's Bay,November,46
2013,Hawke's Bay,December,51
2014,Hawke's Bay,January,24
2014,Hawke's Bay,February,21
2014,Hawke's Bay,March,28
2014,Hawke's Bay,April,14
2014,Hawke's Bay,May,15
2014,Hawke's Bay,June,18
2014,Hawke's Bay,July,18
2014,Hawke's Bay,August,26
2014,Hawke's Bay,September,29
2014,Hawke's Bay,October,22
2014,Hawke's Bay,November,27
2014,Hawke's Bay,December,50
2015,Northland,January,23
2015,Northland,February,16
2015,Northland,March,16
2015,Northland,April,8
2015,Northland,May,11
2015,Northland,June,12
2015,Northland,July,24
2015,Northland,August,27
2015,Northland,September,26
2015,Northland,October,26
2015,Northland,November,26
2015,Northland,December,41
2015,Waitemata,January,84
2015,Waitemata,February,55
2015,Waitemata,March,35
2015,Waitemata,April,40
2015,Waitemata,May,56
2015,Waitemata,June,64
2015,Waitemata,July,60
2015,Waitemata,August,47
2015,Waitemata,September,72
2015,Waitemata,October,77
2015,Waitemata,November,134
2015,Waitemata,December,95
2015,Auckland,January,63
2015,Auckland,February,43
2015,Auckland,March,38
2015,Auckland,April,23
2015,Auckland,May,31
2015,Auckland,June,38
2015,Auckland,July,39
2015,Auckland,August,38
2015,Auckland,September,53
2015,Auckland,October,43
2015,Auckland,November,68
2015,Auckland,December,55
2015,Counties Manukau,January,58
2015,Counties Manukau,February,35
2015,Counties Manukau,March,31
2015,Counties Manukau,April,25
2015,Counties Manukau,May,33
2015,Counties Manukau,June,26
2015,Counties Manukau,July,36
2015,Counties Manukau,August,32
2015,Counties Manukau,September,39
2015,Counties Manukau,October,38
2015,Counties Manukau,November,70
2015,Counties Manukau,December,67
2015,Waikato,January,59
2015,Waikato,February,31
2015,Waikato,March,33
2015,Waikato,April,30
2015,Waikato,May,25
2015,Waikato,June,34
2015,Waikato,July,42
2015,Waikato,August,76
2015,Waikato,September,73
2015,Waikato,October,58
2015,Waikato,November,74
2015,Waikato,December,64
2015,Lakes,January,15
2015,Lakes,February,9
2015,Lakes,March,15
2015,Lakes,April,11
2015,Lakes,May,8
2015,Lakes,June,12
2015,Lakes,July,5
2015,Lakes,August,20
2015,Lakes,September,11
2015,Lakes,October,26
2015,Lakes,November,17
2015,Lakes,December,15
2015,Bay of Plenty,January,30
2015,Bay of Plenty,February,26
2015,Bay of Plenty,March,25
2015,Bay of Plenty,April,15
2015,Bay of Plenty,May,10
2015,Bay of Plenty,June,15
2015,Bay of Plenty,July,12
2015,Bay of Plenty,August,16
2015,Bay of Plenty,September,21
2015,Bay of Plenty,October,23
2015,Bay of Plenty,November,21
2015,Bay of Plenty,December,30
2015,Tairawhiti,January,6
2015,Tairawhiti,February,1
2015,Tairawhiti,March,3
2015,Tairawhiti,April,1
2015,Tairawhiti,May,3
2015,Tairawhiti,June,4
2015,Tairawhiti,July,5
2015,Tairawhiti,August,5
2015,Tairawhiti,September,4
