DHB,Year,Month,Count
West Coast,2015,November,14
West Coast,2015,December,9
Canterbury,2015,January,89
Canterbury,2015,February,52
Canterbury,2015,March,40
Canterbury,2015,April,36
Canterbury,2015,May,61
Canterbury,2015,June,41
Canterbury,2015,July,41
Canterbury,2015,August,54
Canterbury,2015,September,67
Canterbury,2015,October,69
Canterbury,2015,November,90
Canterbury,2015,December,89
South Canterbury,2015,January,19
South Canterbury,2015,February,8
South Canterbury,2015,March,9
South Canterbury,2015,April,8
South Canterbury,2015,May,8
South Canterbury,2015,June,3
South Canterbury,2015,July,6
South Canterbury,2015,August,9
South Canterbury,2015,September,11
South Canterbury,2015,October,13
South Canterbury,2015,November,17
South Canterbury,2015,December,15
Southern,2015,January,50
Southern,2015,February,46
Southern,2015,March,38
Southern,2015,April,36
Southern,2015,May,37
Southern,2015,June,34
Southern,2015,July,25
Southern,2015,August,27
Southern,2015,September,52
Southern,2015,October,47
Southern,2015,November,56
Southern,2015,December,67
