Area,Age,Sex,Year at 30 June,Value,Flags
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","1996",1841300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","1997",1863700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","1998",1877800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","1999",1884900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2000",1893800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2001",1903200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2002",1936500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2003",1975600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2004",2003800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2005",2025200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2006",2048300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2007",2066400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2008",2083400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2009",2104700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2010",2127700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2011",2143600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2012",2155000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2013",2172200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2014",2215700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2015",2270100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2016",2328500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2017",2382700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2018",2430200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2019",2471100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Male","2020",2524900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","1996",1890700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","1997",1917700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","1998",1937200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","1999",1950200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2000",1964000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2001",1977300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2002",2012000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2003",2051700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2004",2083800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2005",2108700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2006",2136200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2007",2157300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2008",2176300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2009",2197900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2010",2222900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2011",2240400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2012",2253100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2013",2269900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2014",2300800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2015",2339300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2016",2385600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2017",2430900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2018",2470500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2019",2508200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Female","2020",2559400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","1996",3732000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","1997",3781300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","1998",3815000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","1999",3835100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2000",3857700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2001",3880500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2002",3948500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2003",4027200,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2004",4087500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2005",4133900,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2006",4184600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2007",4223800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2008",4259800,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2009",4302600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2010",4350700,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2011",4384000,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2012",4408100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2013",4442100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2014",4516500,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2015",4609400,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2016",4714100,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2017",4813600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2018",4900600,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2019",4979300,
"Total New Zealand by DHB area/DHB constituency","Total people, age","Total people, sex","2020",5084300,
"Northland","Total people, age","Male","1996",70000,
"Northland","Total people, age","Male","1997",70600,
"Northland","Total people, age","Male","1998",71000,
"Northland","Total people, age","Male","1999",71100,
"Northland","Total people, age","Male","2000",71300,
"Northland","Total people, age","Male","2001",71200,
"Northland","Total people, age","Male","2002",72000,
"Northland","Total people, age","Male","2003",72900,
"Northland","Total people, age","Male","2004",73700,
"Northland","Total people, age","Male","2005",74300,
"Northland","Total people, age","Male","2006",75100,
"Northland","Total people, age","Male","2007",75900,
"Northland","Total people, age","Male","2008",76700,
"Northland","Total people, age","Male","2009",77500,
"Northland","Total people, age","Male","2010",78700,
"Northland","Total people, age","Male","2011",79500,
"Northland","Total people, age","Male","2012",79900,
"Northland","Total people, age","Male","2013",80600,
"Northland","Total people, age","Male","2014",82500,
"Northland","Total people, age","Male","2015",84800,
"Northland","Total people, age","Male","2016",87300,
"Northland","Total people, age","Male","2017",90000,
"Northland","Total people, age","Male","2018",92400,
"Northland","Total people, age","Male","2019",94500,
"Northland","Total people, age","Male","2020",97000,
"Northland","Total people, age","Female","1996",70700,
"Northland","Total people, age","Female","1997",71500,
"Northland","Total people, age","Female","1998",72300,
"Northland","Total people, age","Female","1999",72700,
"Northland","Total people, age","Female","2000",73100,
"Northland","Total people, age","Female","2001",73200,
"Northland","Total people, age","Female","2002",74000,
"Northland","Total people, age","Female","2003",74900,
"Northland","Total people, age","Female","2004",75800,
"Northland","Total people, age","Female","2005",76600,
"Northland","Total people, age","Female","2006",77600,
"Northland","Total people, age","Female","2007",78700,
"Northland","Total people, age","Female","2008",79700,
"Northland","Total people, age","Female","2009",80700,
"Northland","Total people, age","Female","2010",81900,
"Northland","Total people, age","Female","2011",82900,
"Northland","Total people, age","Female","2012",83500,
"Northland","Total people, age","Female","2013",84200,
"Northland","Total people, age","Female","2014",85600,
"Northland","Total people, age","Female","2015",87200,
"Northland","Total people, age","Female","2016",89100,
"Northland","Total people, age","Female","2017",91300,
"Northland","Total people, age","Female","2018",93400,
"Northland","Total people, age","Female","2019",95100,
"Northland","Total people, age","Female","2020",97600,
"Northland","Total people, age","Total people, sex","1996",140700,
"Northland","Total people, age","Total people, sex","1997",142100,
"Northland","Total people, age","Total people, sex","1998",143300,
"Northland","Total people, age","Total people, sex","1999",143800,
"Northland","Total people, age","Total people, sex","2000",144400,
"Northland","Total people, age","Total people, sex","2001",144400,
"Northland","Total people, age","Total people, sex","2002",146000,
"Northland","Total people, age","Total people, sex","2003",147900,
"Northland","Total people, age","Total people, sex","2004",149400,
"Northland","Total people, age","Total people, sex","2005",151000,
"Northland","Total people, age","Total people, sex","2006",152700,
"Northland","Total people, age","Total people, sex","2007",154600,
"Northland","Total people, age","Total people, sex","2008",156300,
"Northland","Total people, age","Total people, sex","2009",158200,
"Northland","Total people, age","Total people, sex","2010",160600,
"Northland","Total people, age","Total people, sex","2011",162500,
"Northland","Total people, age","Total people, sex","2012",163500,
"Northland","Total people, age","Total people, sex","2013",164700,
"Northland","Total people, age","Total people, sex","2014",168200,
"Northland","Total people, age","Total people, sex","2015",172100,
"Northland","Total people, age","Total people, sex","2016",176400,
"Northland","Total people, age","Total people, sex","2017",181200,
"Northland","Total people, age","Total people, sex","2018",185800,
"Northland","Total people, age","Total people, sex","2019",189600,
"Northland","Total people, age","Total people, sex","2020",194600,
"Waitemata","Total people, age","Male","1996",201600,
"Waitemata","Total people, age","Male","1997",206700,
"Waitemata","Total people, age","Male","1998",210800,
"Waitemata","Total people, age","Male","1999",213800,
"Waitemata","Total people, age","Male","2000",216900,
"Waitemata","Total people, age","Male","2001",219800,
"Waitemata","Total people, age","Male","2002",225900,
"Waitemata","Total people, age","Male","2003",233200,
"Waitemata","Total people, age","Male","2004",238500,
"Waitemata","Total people, age","Male","2005",242700,
"Waitemata","Total people, age","Male","2006",247000,
"Waitemata","Total people, age","Male","2007",250100,
"Waitemata","Total people, age","Male","2008",252800,
"Waitemata","Total people, age","Male","2009",255700,
"Waitemata","Total people, age","Male","2010",259000,
"Waitemata","Total people, age","Male","2011",262700,
"Waitemata","Total people, age","Male","2012",265900,
"Waitemata","Total people, age","Male","2013",269600,
"Waitemata","Total people, age","Male","2014",275400,
"Waitemata","Total people, age","Male","2015",282400,
"Waitemata","Total people, age","Male","2016",289700,
"Waitemata","Total people, age","Male","2017",297400,
"Waitemata","Total people, age","Male","2018",303800,
"Waitemata","Total people, age","Male","2019",309100,
"Waitemata","Total people, age","Male","2020",316900,
"Waitemata","Total people, age","Female","1996",207800,
"Waitemata","Total people, age","Female","1997",213500,
"Waitemata","Total people, age","Female","1998",218300,
"Waitemata","Total people, age","Female","1999",221900,
"Waitemata","Total people, age","Female","2000",225800,
"Waitemata","Total people, age","Female","2001",229100,
"Waitemata","Total people, age","Female","2002",235500,
"Waitemata","Total people, age","Female","2003",242800,
"Waitemata","Total people, age","Female","2004",248500,
"Waitemata","Total people, age","Female","2005",253000,
"Waitemata","Total people, age","Female","2006",257700,
"Waitemata","Total people, age","Female","2007",261500,
"Waitemata","Total people, age","Female","2008",264600,
"Waitemata","Total people, age","Female","2009",267900,
"Waitemata","Total people, age","Female","2010",271700,
"Waitemata","Total people, age","Female","2011",275900,
"Waitemata","Total people, age","Female","2012",279500,
"Waitemata","Total people, age","Female","2013",283200,
"Waitemata","Total people, age","Female","2014",287600,
"Waitemata","Total people, age","Female","2015",292700,
"Waitemata","Total people, age","Female","2016",298800,
"Waitemata","Total people, age","Female","2017",305500,
"Waitemata","Total people, age","Female","2018",311300,
"Waitemata","Total people, age","Female","2019",315600,
"Waitemata","Total people, age","Female","2020",322600,
"Waitemata","Total people, age","Total people, sex","1996",409400,
"Waitemata","Total people, age","Total people, sex","1997",420200,
"Waitemata","Total people, age","Total people, sex","1998",429200,
"Waitemata","Total people, age","Total people, sex","1999",435700,
"Waitemata","Total people, age","Total people, sex","2000",442700,
"Waitemata","Total people, age","Total people, sex","2001",449000,
"Waitemata","Total people, age","Total people, sex","2002",461400,
"Waitemata","Total people, age","Total people, sex","2003",476000,
"Waitemata","Total people, age","Total people, sex","2004",487100,
"Waitemata","Total people, age","Total people, sex","2005",495700,
"Waitemata","Total people, age","Total people, sex","2006",504700,
"Waitemata","Total people, age","Total people, sex","2007",511700,
"Waitemata","Total people, age","Total people, sex","2008",517400,
"Waitemata","Total people, age","Total people, sex","2009",523600,
"Waitemata","Total people, age","Total people, sex","2010",530700,
"Waitemata","Total people, age","Total people, sex","2011",538500,
"Waitemata","Total people, age","Total people, sex","2012",545400,
"Waitemata","Total people, age","Total people, sex","2013",552800,
"Waitemata","Total people, age","Total people, sex","2014",563000,
"Waitemata","Total people, age","Total people, sex","2015",575100,
"Waitemata","Total people, age","Total people, sex","2016",588500,
"Waitemata","Total people, age","Total people, sex","2017",602900,
"Waitemata","Total people, age","Total people, sex","2018",615100,
"Waitemata","Total people, age","Total people, sex","2019",624700,
"Waitemata","Total people, age","Total people, sex","2020",639500,
"Auckland","Total people, age","Male","1996",177000,
"Auckland","Total people, age","Male","1997",182100,
"Auckland","Total people, age","Male","1998",184600,
"Auckland","Total people, age","Male","1999",186000,
"Auckland","Total people, age","Male","2000",187500,
"Auckland","Total people, age","Male","2001",189500,
"Auckland","Total people, age","Male","2002",195800,
"Auckland","Total people, age","Male","2003",202600,
"Auckland","Total people, age","Male","2004",205100,
"Auckland","Total people, age","Male","2005",207200,
"Auckland","Total people, age","Male","2006",209600,
"Auckland","Total people, age","Male","2007",211500,
"Auckland","Total people, age","Male","2008",213300,
"Auckland","Total people, age","Male","2009",215800,
"Auckland","Total people, age","Male","2010",218200,
"Auckland","Total people, age","Male","2011",220800,
"Auckland","Total people, age","Male","2012",223000,
"Auckland","Total people, age","Male","2013",225300,
"Auckland","Total people, age","Male","2014",229000,
"Auckland","Total people, age","Male","2015",233400,
"Auckland","Total people, age","Male","2016",238400,
"Auckland","Total people, age","Male","2017",242300,
"Auckland","Total people, age","Male","2018",245400,
"Auckland","Total people, age","Male","2019",248100,
"Auckland","Total people, age","Male","2020",252200,
"Auckland","Total people, age","Female","1996",185000,
"Auckland","Total people, age","Female","1997",190500,
"Auckland","Total people, age","Female","1998",193200,
"Auckland","Total people, age","Female","1999",195100,
"Auckland","Total people, age","Female","2000",196800,
"Auckland","Total people, age","Female","2001",199200,
"Auckland","Total people, age","Female","2002",205300,
"Auckland","Total people, age","Female","2003",211700,
"Auckland","Total people, age","Female","2004",214200,
"Auckland","Total people, age","Female","2005",216300,
"Auckland","Total people, age","Female","2006",218700,
"Auckland","Total people, age","Female","2007",220700,
"Auckland","Total people, age","Female","2008",222700,
"Auckland","Total people, age","Female","2009",225200,
"Auckland","Total people, age","Female","2010",227700,
"Auckland","Total people, age","Female","2011",230900,
"Auckland","Total people, age","Female","2012",233100,
"Auckland","Total people, age","Female","2013",235200,
"Auckland","Total people, age","Female","2014",237200,
"Auckland","Total people, age","Female","2015",239400,
"Auckland","Total people, age","Female","2016",243000,
"Auckland","Total people, age","Female","2017",245700,
"Auckland","Total people, age","Female","2018",247800,
"Auckland","Total people, age","Female","2019",250000,
"Auckland","Total people, age","Female","2020",253200,
"Auckland","Total people, age","Total people, sex","1996",362000,
"Auckland","Total people, age","Total people, sex","1997",372700,
"Auckland","Total people, age","Total people, sex","1998",377800,
"Auckland","Total people, age","Total people, sex","1999",381100,
"Auckland","Total people, age","Total people, sex","2000",384300,
"Auckland","Total people, age","Total people, sex","2001",388800,
"Auckland","Total people, age","Total people, sex","2002",401100,
"Auckland","Total people, age","Total people, sex","2003",414200,
"Auckland","Total people, age","Total people, sex","2004",419300,
"Auckland","Total people, age","Total people, sex","2005",423500,
"Auckland","Total people, age","Total people, sex","2006",428300,
"Auckland","Total people, age","Total people, sex","2007",432200,
"Auckland","Total people, age","Total people, sex","2008",436000,
"Auckland","Total people, age","Total people, sex","2009",441000,
"Auckland","Total people, age","Total people, sex","2010",445900,
"Auckland","Total people, age","Total people, sex","2011",451700,
"Auckland","Total people, age","Total people, sex","2012",456000,
"Auckland","Total people, age","Total people, sex","2013",460500,
"Auckland","Total people, age","Total people, sex","2014",466200,
"Auckland","Total people, age","Total people, sex","2015",472800,
"Auckland","Total people, age","Total people, sex","2016",481400,
"Auckland","Total people, age","Total people, sex","2017",488000,
"Auckland","Total people, age","Total people, sex","2018",493300,
"Auckland","Total people, age","Total people, sex","2019",498100,
"Auckland","Total people, age","Total people, sex","2020",505400,
"Counties Manukau","Total people, age","Male","1996",175900,
"Counties Manukau","Total people, age","Male","1997",180500,
"Counties Manukau","Total people, age","Male","1998",184500,
"Counties Manukau","Total people, age","Male","1999",187300,
"Counties Manukau","Total people, age","Male","2000",190400,
"Counties Manukau","Total people, age","Male","2001",193300,
"Counties Manukau","Total people, age","Male","2002",199700,
"Counties Manukau","Total people, age","Male","2003",206700,
"Counties Manukau","Total people, age","Male","2004",212700,
"Counties Manukau","Total people, age","Male","2005",217600,
"Counties Manukau","Total people, age","Male","2006",222500,
"Counties Manukau","Total people, age","Male","2007",225600,
"Counties Manukau","Total people, age","Male","2008",228500,
"Counties Manukau","Total people, age","Male","2009",231100,
"Counties Manukau","Total people, age","Male","2010",234000,
"Counties Manukau","Total people, age","Male","2011",237300,
"Counties Manukau","Total people, age","Male","2012",240200,
"Counties Manukau","Total people, age","Male","2013",242700,
"Counties Manukau","Total people, age","Male","2014",249600,
"Counties Manukau","Total people, age","Male","2015",258000,
"Counties Manukau","Total people, age","Male","2016",267000,
"Counties Manukau","Total people, age","Male","2017",275600,
"Counties Manukau","Total people, age","Male","2018",283000,
"Counties Manukau","Total people, age","Male","2019",289700,
"Counties Manukau","Total people, age","Male","2020",297700,
"Counties Manukau","Total people, age","Female","1996",180800,
"Counties Manukau","Total people, age","Female","1997",185900,
"Counties Manukau","Total people, age","Female","1998",190300,
"Counties Manukau","Total people, age","Female","1999",193600,
"Counties Manukau","Total people, age","Female","2000",197100,
"Counties Manukau","Total people, age","Female","2001",200400,
"Counties Manukau","Total people, age","Female","2002",207200,
"Counties Manukau","Total people, age","Female","2003",214600,
"Counties Manukau","Total people, age","Female","2004",221100,
"Counties Manukau","Total people, age","Female","2005",226600,
"Counties Manukau","Total people, age","Female","2006",232300,
"Counties Manukau","Total people, age","Female","2007",236000,
"Counties Manukau","Total people, age","Female","2008",238900,
"Counties Manukau","Total people, age","Female","2009",241800,
"Counties Manukau","Total people, age","Female","2010",244900,
"Counties Manukau","Total people, age","Female","2011",248300,
"Counties Manukau","Total people, age","Female","2012",251300,
"Counties Manukau","Total people, age","Female","2013",253600,
"Counties Manukau","Total people, age","Female","2014",258400,
"Counties Manukau","Total people, age","Female","2015",264400,
"Counties Manukau","Total people, age","Female","2016",271300,
"Counties Manukau","Total people, age","Female","2017",278200,
"Counties Manukau","Total people, age","Female","2018",284000,
"Counties Manukau","Total people, age","Female","2019",289500,
"Counties Manukau","Total people, age","Female","2020",297400,
"Counties Manukau","Total people, age","Total people, sex","1996",356800,
"Counties Manukau","Total people, age","Total people, sex","1997",366400,
"Counties Manukau","Total people, age","Total people, sex","1998",374800,
"Counties Manukau","Total people, age","Total people, sex","1999",380900,
"Counties Manukau","Total people, age","Total people, sex","2000",387500,
"Counties Manukau","Total people, age","Total people, sex","2001",393700,
"Counties Manukau","Total people, age","Total people, sex","2002",406900,
"Counties Manukau","Total people, age","Total people, sex","2003",421300,
"Counties Manukau","Total people, age","Total people, sex","2004",433800,
"Counties Manukau","Total people, age","Total people, sex","2005",444200,
"Counties Manukau","Total people, age","Total people, sex","2006",454800,
"Counties Manukau","Total people, age","Total people, sex","2007",461600,
"Counties Manukau","Total people, age","Total people, sex","2008",467400,
"Counties Manukau","Total people, age","Total people, sex","2009",472900,
"Counties Manukau","Total people, age","Total people, sex","2010",478900,
"Counties Manukau","Total people, age","Total people, sex","2011",485600,
"Counties Manukau","Total people, age","Total people, sex","2012",491500,
"Counties Manukau","Total people, age","Total people, sex","2013",496300,
"Counties Manukau","Total people, age","Total people, sex","2014",508000,
"Counties Manukau","Total people, age","Total people, sex","2015",522500,
"Counties Manukau","Total people, age","Total people, sex","2016",538300,
"Counties Manukau","Total people, age","Total people, sex","2017",553800,
"Counties Manukau","Total people, age","Total people, sex","2018",567000,
"Counties Manukau","Total people, age","Total people, sex","2019",579200,
"Counties Manukau","Total people, age","Total people, sex","2020",595100,
"Waikato","Total people, age","Male","1996",159700,
"Waikato","Total people, age","Male","1997",161100,
"Waikato","Total people, age","Male","1998",161900,
"Waikato","Total people, age","Male","1999",162200,
"Waikato","Total people, age","Male","2000",162200,
"Waikato","Total people, age","Male","2001",162100,
"Waikato","Total people, age","Male","2002",164000,
"Waikato","Total people, age","Male","2003",166500,
"Waikato","Total people, age","Male","2004",168500,
"Waikato","Total people, age","Male","2005",170100,
"Waikato","Total people, age","Male","2006",171800,
"Waikato","Total people, age","Male","2007",173300,
"Waikato","Total people, age","Male","2008",175200,
"Waikato","Total people, age","Male","2009",177400,
"Waikato","Total people, age","Male","2010",179700,
"Waikato","Total people, age","Male","2011",181800,
"Waikato","Total people, age","Male","2012",183400,
"Waikato","Total people, age","Male","2013",184800,
"Waikato","Total people, age","Male","2014",188600,
"Waikato","Total people, age","Male","2015",193500,
"Waikato","Total people, age","Male","2016",198400,
"Waikato","Total people, age","Male","2017",203700,
"Waikato","Total people, age","Male","2018",208400,
"Waikato","Total people, age","Male","2019",212500,
"Waikato","Total people, age","Male","2020",217200,
"Waikato","Total people, age","Female","1996",161900,
"Waikato","Total people, age","Female","1997",163700,
"Waikato","Total people, age","Female","1998",165100,
"Waikato","Total people, age","Female","1999",165700,
"Waikato","Total people, age","Female","2000",166300,
"Waikato","Total people, age","Female","2001",166500,
"Waikato","Total people, age","Female","2002",168800,
"Waikato","Total people, age","Female","2003",171500,
"Waikato","Total people, age","Female","2004",174100,
"Waikato","Total people, age","Female","2005",176200,
"Waikato","Total people, age","Female","2006",178400,
"Waikato","Total people, age","Female","2007",180400,
"Waikato","Total people, age","Female","2008",182300,
"Waikato","Total people, age","Female","2009",184600,
"Waikato","Total people, age","Female","2010",187100,
"Waikato","Total people, age","Female","2011",189500,
"Waikato","Total people, age","Female","2012",191400,
"Waikato","Total people, age","Female","2013",193100,
"Waikato","Total people, age","Female","2014",196100,
"Waikato","Total people, age","Female","2015",199600,
"Waikato","Total people, age","Female","2016",203600,
"Waikato","Total people, age","Female","2017",208400,
"Waikato","Total people, age","Female","2018",212600,
"Waikato","Total people, age","Female","2019",216400,
"Waikato","Total people, age","Female","2020",221100,
"Waikato","Total people, age","Total people, sex","1996",321600,
"Waikato","Total people, age","Total people, sex","1997",324800,
"Waikato","Total people, age","Total people, sex","1998",327000,
"Waikato","Total people, age","Total people, sex","1999",327900,
"Waikato","Total people, age","Total people, sex","2000",328600,
"Waikato","Total people, age","Total people, sex","2001",328600,
"Waikato","Total people, age","Total people, sex","2002",332900,
"Waikato","Total people, age","Total people, sex","2003",338000,
"Waikato","Total people, age","Total people, sex","2004",342700,
"Waikato","Total people, age","Total people, sex","2005",346300,
"Waikato","Total people, age","Total people, sex","2006",350200,
"Waikato","Total people, age","Total people, sex","2007",353800,
"Waikato","Total people, age","Total people, sex","2008",357500,
"Waikato","Total people, age","Total people, sex","2009",362000,
"Waikato","Total people, age","Total people, sex","2010",366800,
"Waikato","Total people, age","Total people, sex","2011",371300,
"Waikato","Total people, age","Total people, sex","2012",374800,
"Waikato","Total people, age","Total people, sex","2013",377900,
"Waikato","Total people, age","Total people, sex","2014",384700,
"Waikato","Total people, age","Total people, sex","2015",393000,
"Waikato","Total people, age","Total people, sex","2016",402000,
"Waikato","Total people, age","Total people, sex","2017",412200,
"Waikato","Total people, age","Total people, sex","2018",421000,
"Waikato","Total people, age","Total people, sex","2019",428900,
"Waikato","Total people, age","Total people, sex","2020",438300,
"Lakes","Total people, age","Male","1996",48700,
"Lakes","Total people, age","Male","1997",49000,
"Lakes","Total people, age","Male","1998",49200,
"Lakes","Total people, age","Male","1999",49100,
"Lakes","Total people, age","Male","2000",49000,
"Lakes","Total people, age","Male","2001",48900,
"Lakes","Total people, age","Male","2002",49200,
"Lakes","Total people, age","Male","2003",49600,
"Lakes","Total people, age","Male","2004",49700,
"Lakes","Total people, age","Male","2005",49700,
"Lakes","Total people, age","Male","2006",49800,
"Lakes","Total people, age","Male","2007",49700,
"Lakes","Total people, age","Male","2008",49700,
"Lakes","Total people, age","Male","2009",49800,
"Lakes","Total people, age","Male","2010",50200,
"Lakes","Total people, age","Male","2011",50400,
"Lakes","Total people, age","Male","2012",50500,
"Lakes","Total people, age","Male","2013",50400,
"Lakes","Total people, age","Male","2014",51400,
"Lakes","Total people, age","Male","2015",52400,
"Lakes","Total people, age","Male","2016",53700,
"Lakes","Total people, age","Male","2017",55000,
"Lakes","Total people, age","Male","2018",56000,
"Lakes","Total people, age","Male","2019",57100,
"Lakes","Total people, age","Male","2020",58300,
"Lakes","Total people, age","Female","1996",49500,
"Lakes","Total people, age","Female","1997",49900,
"Lakes","Total people, age","Female","1998",50400,
"Lakes","Total people, age","Female","1999",50400,
"Lakes","Total people, age","Female","2000",50500,
"Lakes","Total people, age","Female","2001",50600,
"Lakes","Total people, age","Female","2002",50900,
"Lakes","Total people, age","Female","2003",51300,
"Lakes","Total people, age","Female","2004",51600,
"Lakes","Total people, age","Female","2005",51600,
"Lakes","Total people, age","Female","2006",51800,
"Lakes","Total people, age","Female","2007",51800,
"Lakes","Total people, age","Female","2008",51800,
"Lakes","Total people, age","Female","2009",52000,
"Lakes","Total people, age","Female","2010",52400,
"Lakes","Total people, age","Female","2011",52700,
"Lakes","Total people, age","Female","2012",52800,
"Lakes","Total people, age","Female","2013",52800,
"Lakes","Total people, age","Female","2014",53600,
"Lakes","Total people, age","Female","2015",54400,
"Lakes","Total people, age","Female","2016",55400,
"Lakes","Total people, age","Female","2017",56400,
"Lakes","Total people, age","Female","2018",57300,
"Lakes","Total people, age","Female","2019",58100,
"Lakes","Total people, age","Female","2020",59100,
"Lakes","Total people, age","Total people, sex","1996",98200,
"Lakes","Total people, age","Total people, sex","1997",98900,
"Lakes","Total people, age","Total people, sex","1998",99600,
"Lakes","Total people, age","Total people, sex","1999",99400,
"Lakes","Total people, age","Total people, sex","2000",99500,
"Lakes","Total people, age","Total people, sex","2001",99400,
"Lakes","Total people, age","Total people, sex","2002",100100,
"Lakes","Total people, age","Total people, sex","2003",100900,
"Lakes","Total people, age","Total people, sex","2004",101300,
"Lakes","Total people, age","Total people, sex","2005",101300,
"Lakes","Total people, age","Total people, sex","2006",101500,
"Lakes","Total people, age","Total people, sex","2007",101400,
"Lakes","Total people, age","Total people, sex","2008",101500,
"Lakes","Total people, age","Total people, sex","2009",101800,
"Lakes","Total people, age","Total people, sex","2010",102600,
"Lakes","Total people, age","Total people, sex","2011",103100,
"Lakes","Total people, age","Total people, sex","2012",103300,
"Lakes","Total people, age","Total people, sex","2013",103200,
"Lakes","Total people, age","Total people, sex","2014",104900,
"Lakes","Total people, age","Total people, sex","2015",106800,
"Lakes","Total people, age","Total people, sex","2016",109100,
"Lakes","Total people, age","Total people, sex","2017",111400,
"Lakes","Total people, age","Total people, sex","2018",113400,
"Lakes","Total people, age","Total people, sex","2019",115100,
"Lakes","Total people, age","Total people, sex","2020",117400,
"Bay of Plenty","Total people, age","Male","1996",82600,
"Bay of Plenty","Total people, age","Male","1997",84500,
"Bay of Plenty","Total people, age","Male","1998",86100,
"Bay of Plenty","Total people, age","Male","1999",87400,
"Bay of Plenty","Total people, age","Male","2000",88700,
"Bay of Plenty","Total people, age","Male","2001",89400,
"Bay of Plenty","Total people, age","Male","2002",91000,
"Bay of Plenty","Total people, age","Male","2003",92900,
"Bay of Plenty","Total people, age","Male","2004",94700,
"Bay of Plenty","Total people, age","Male","2005",96300,
"Bay of Plenty","Total people, age","Male","2006",97700,
